Date,Germany,Italy,France,South Korea,Spain,Switzerland,United Kingdom,Iran,Netherlands,Austria
1/22/20,0,0,0,1,0,0,0,0,0,0
1/23/20,0,0,0,1,0,0,0,0,0,0
1/24/20,0,0,2,2,0,0,0,0,0,0
1/25/20,0,0,3,2,0,0,0,0,0,0
1/26/20,0,0,3,3,0,0,0,0,0,0
1/27/20,1,0,3,4,0,0,0,0,0,0
1/28/20,4,0,4,4,0,0,0,0,0,0
1/29/20,4,0,5,4,0,0,0,0,0,0
1/30/20,4,0,5,4,0,0,0,0,0,0
1/31/20,5,2,5,11,0,0,2,0,0,0
2/1/20,8,2,6,12,1,0,2,0,0,0
2/2/20,10,2,6,15,1,0,2,0,0,0
2/3/20,12,2,6,15,1,0,2,0,0,0
2/4/20,12,2,6,16,1,0,2,0,0,0
2/5/20,12,2,6,19,1,0,2,0,0,0
2/6/20,12,2,6,23,1,0,2,0,0,0
2/7/20,13,3,6,24,1,0,3,0,0,0
2/8/20,13,3,11,24,1,0,3,0,0,0
2/9/20,14,3,11,25,2,0,3,0,0,0
2/10/20,14,3,11,27,2,0,8,0,0,0
2/11/20,16,3,11,28,2,0,8,0,0,0
2/12/20,16,3,11,28,2,0,9,0,0,0
2/13/20,16,3,11,28,2,0,9,0,0,0
2/14/20,16,3,11,28,2,0,9,0,0,0
2/15/20,16,3,12,28,2,0,9,0,0,0
2/16/20,16,3,12,29,2,0,9,0,0,0
2/17/20,16,3,12,30,2,0,9,0,0,0
2/18/20,16,3,12,31,2,0,9,0,0,0
2/19/20,16,3,12,31,2,0,9,2,0,0
2/20/20,16,3,12,104,2,0,9,5,0,0
2/21/20,16,20,12,204,2,0,9,18,0,0
2/22/20,16,62,12,433,2,0,9,28,0,0
2/23/20,16,155,12,602,2,0,9,43,0,0
2/24/20,16,229,12,833,2,0,13,61,0,0
2/25/20,17,322,14,977,6,1,13,95,0,2
2/26/20,27,453,18,1261,13,1,13,139,0,2
2/27/20,46,655,38,1766,15,8,15,245,1,3
2/28/20,48,888,57,2337,32,8,20,388,1,3
2/29/20,79,1128,100,3150,45,18,23,593,6,9
3/1/20,130,1694,130,3736,84,27,36,978,10,14
3/2/20,159,2036,191,4335,120,42,40,1501,18,18
3/3/20,196,2502,204,5186,165,56,51,2336,24,21
3/4/20,262,3089,285,5621,222,90,85,2922,38,29
3/5/20,482,3858,377,6088,259,114,115,3513,82,41
3/6/20,670,4636,653,6593,400,214,163,4747,128,55
3/7/20,799,5883,949,7041,500,268,206,5823,188,79
3/8/20,1040,7375,1126,7314,673,337,273,6566,265,104
3/9/20,1176,9172,1209,7478,1073,374,321,7161,321,131
3/10/20,1457,10149,1784,7513,1695,491,382,8042,382,182
3/11/20,1908,12462,2281,7755,2277,652,456,9000,503,246
3/12/20,2078,12462,2281,7869,2277,652,456,10075,503,302
3/13/20,3675,17660,3661,7979,5232,1139,798,11364,804,504
3/14/20,4585,21157,4469,8086,6391,1359,1140,12729,959,655
3/15/20,5795,24747,4499,8162,7798,2200,1140,13938,1135,860
3/16/20,7272,27980,6633,8236,9942,2200,1543,14991,1413,1018
3/17/20,9257,31506,7652,8320,11748,2700,1950,16169,1705,1332
3/18/20,12327,35713,9043,8413,13910,3028,2626,17361,2051,1646
3/19/20,15320,41035,10871,8565,17963,4075,2689,18407,2460,2013
3/20/20,19848,47021,12612,8652,20410,5294,3983,19644,2994,2388
3/21/20,22213,53578,14282,8799,25374,6575,5018,20610,3631,2814
3/22/20,24873,59138,16018,8961,28768,7474,5683,21638,4204,3582
3/23/20,29056,63927,19856,8961,35136,8795,6650,23049,4749,4474
3/24/20,32986,69176,22304,9037,39885,9877,8077,24811,5560,5283
