Authors,Title,DOI,Link,Abstract,Author Keywords,Index Keywords
"Afshan N., Rout R.K.","Machine Learning Techniques for IoT Data Analytics","10.1002/9781119740780.ch3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133080677&doi=10.1002%2f9781119740780.ch3&partnerID=40&md5=054e3a030dd63c4c1803c578a49725d3","Tremendous advancements and innovations in hardware and software together with developments in different communication technologies and computational advancements have encouraged the advent of an ecosystem of highly interconnected and smart devices known as the Internet of Things (IoT). This IoT is getting outstandingly universal and ubiquitous in today's society with a transformative and constructive impact on different application domains like smart and sustainable living, smart healthcare, smart agriculture, smart cities, manufacturing, and more. Consequently, there has been escalating quantitative expansion in the devices connected to IoT leading to the generation of massive volumes of data, depicting a perfect overlap of big data generation with that of IoT. These voluminous data are totally useless without any proper analytic procedure and is much more than humans will be able to process and analyze. In addition to being huge in terms of size and volume, the big data generated by IoT are of highly veracious and variable nature with a variety of data forms and quality. Further, it is highly distinguished by its velocity in terms of creation, time, processing, location dependency, and accessibility. As a result, smart analysis of such data for obtaining valuable insights is a challenging task. Intelligent data analytics is an important prerequisite to maximize the business value of IoT and realize its hyped market potential. Machine learning has the power to handle different challenges associated with IoT data and can be deployed effectively as they require minimal human intervention. In this chapter, different machine learning algorithms will be discussed along with their potential and challenges for IoT data analytics. The central goal of this chapter is to present a taxonomy of various machine learning approaches and demonstrate the implementation of different techniques so as to do higher level analysis using IoT data. © 2021 John Wiley & Sons, Inc. All rights reserved.","data analytics; Internet of Things; machine learning; smart data",
"Ahmed M.S., Tazwar M.T., Khan H., Roy S., Iqbal J., Rabiul Alam M.G., Hassan M.R., Hassan M.M.","Yield Response of Different Rice Ecotypes to Meteorological, Agro-Chemical, and Soil Physiographic Factors for Interpretable Precision Agriculture Using Extreme Gradient Boosting and Support Vector Regression","10.1155/2022/5305353","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139490887&doi=10.1155%2f2022%2f5305353&partnerID=40&md5=91ebeaa7d8d3c6f433b56bbc7949f169","The food security of more than half of the world's population depends on rice production which is one of the key objectives of precision agriculture. The traditional rice almanac used astronomical and climate factors to estimate yield response. However, this research integrated meteorological, agro-chemical, and soil physiographic factors for yield response prediction. Besides, the impact of those factors on the production of three major rice ecotypes has also been studied in this research. Moreover, this study found a different set of those factors with respect to the yield response of different rice ecotypes. Machine learning algorithms named Extreme Gradient Boosting (XGBoost) and Support Vector Regression (SVR) have been used for predicting the yield response. The SVR shows better results than XGBoost for predicting the yield of the Aus rice ecotype, whereas XGBoost performs better for forecasting the yield of the Aman and Boro rice ecotypes. The result shows that the root mean squared error (RMSE) of three different ecotypes are in between 9.38% and 24.37% and that of R-squared values are between 89.74% and 99.13% on two different machine learning algorithms. Moreover, the explainability of the models is also shown in this study with the help of the explainable artificial intelligence (XAI) model called Local Interpretable Model-Agnostic Explanations (LIME). © 2022 Md. Sabbir Ahmed et al.",,"Adaptive boosting; Food supply; Forecasting; Lime; Machine learning; Mean square error; Agro-chemicals; Food security; Gradient boosting; Key objective; Machine learning algorithms; Precision Agriculture; Rice production; Support vector regressions; World population; Yield response; Precision agriculture"
"Albinet F., Peng Y., Eguchi T., Smolders E., Dercon G.","Prediction of exchangeable potassium in soil through mid-infrared spectroscopy and deep learning: From prediction to explainability","10.1016/j.aiia.2022.10.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140931886&doi=10.1016%2fj.aiia.2022.10.001&partnerID=40&md5=38e60d488c83a0a0f2d555dade330824","The ability to characterize rapidly and repeatedly exchangeable potassium (Kex) content in the soil is essential for optimizing remediation of radiocaesium contamination in agriculture. In this paper, we show how this can be now achieved using a Convolutional Neural Network (CNN) model trained on a large Mid-Infrared (MIR) soil spectral library (40,000 samples with Kex determined with 1 M NH4OAc, pH 7), compiled by the National Soil Survey Center of the United States Department of Agriculture. Using Partial Least Squares Regression as a baseline, we found that our implemented CNN leads to a significantly higher prediction performance of Kex when a large amount of data is available (10000), increasing the coefficient of determination from 0.64 to 0.79, and reducing the Mean Absolute Percentage Error from 135% to 31%. Furthermore, in order to provide end-users with required interpretive keys, we implemented the GradientShap algorithm to identify the spectral regions considered important by the model for predicting Kex. Used in the context of the implemented CNN on various Soil Taxonomy Orders, it allowed (i) to relate the important spectral features to domain knowledge and (ii) to demonstrate that including all Soil Taxonomy Orders in CNN-based modeling is beneficial as spectral features learned can be reused across different, sometimes underrepresented orders. © 2022 The Authors","Agriculture; Convolutional neural network; High-throughput soil characterization; Interpretability; Machine learning; Nuclear emergency response; Remediation",
"Altarez R.D.D., Apan A., Maraseni T.","Deep learning U-Net classification of Sentinel-1 and 2 fusions effectively demarcates tropical montane forest's deforestation","10.1016/j.rsase.2022.100887","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142736921&doi=10.1016%2fj.rsase.2022.100887&partnerID=40&md5=28f6f46e1214ce45724916b791958257","Tropical montane forests (TMF) play a vital role in providing numerous ecosystem services. This ecosystem is characterized by towering mountains, cold weather, tall trees such as pine, and dwarfed plants. Although the combination of optical and radar imagery has shown promise in land use and land cover (LULC) mapping, only a handful of studies have attempted to study the dynamics of land changes in tropical montasne forests by combining the two. In this study, we examined the usage of Sentinel-1 (S-1) and Sentinel-2 (S-2) and their fusion as input for LULC mapping with three modeling classifiers: traditional (maximum likelihood classification - MLC), machine learning techniques (random forest, k-nearest neighbor, and kd-tree nearest neighbor), and a deep learning approach (U-Net) in a TMF in the Philippines. Also, the deforestation was characterized in terms of proximity and topographic factors. The findings revealed that the combination of S-1 and S-2 provides LULC with high accuracy of image classification. In binary classification, traditional MLC supersedes other classifiers in correctly classifying the pixels of the input imagery (average overall accuracy (OA) = 95.22; Kappa index (KI) = 90.39). Random Forest (RF) stands out in machine learning classifiers (average OA = 94.49; KI = 88.8). However, U-Net deep learning loses in binary classification but proven more robust when LULC were classified into six complex classes with an OA of 86.77 and KI of 78.89. In addition, using deep learning modeling for LULC mapping of the research site, it was determined that from 2015 to early 2022, 417.93 km2 of the study area had been deforested. Further, this research reveals that the greater the proximity of a forest to a human settlement or agricultural zone, the greater the likelihood that it will be cleared for human habitation or agriculture. Deforestation also occurred in rural locations, far from roads and bodies of water. This analysis also supports the hypothesis that deforestation can occur even in high-elevation areas. The results of this study can be utilized by policy and law makers in order to better communicate the critical nature of implementing evidence- and science-based policies to strengthen protections, as well as developing conservation and management plan for tropical montane forests. © 2022 Elsevier B.V.","Deep learning; Optical; Radar; Tropical montane forest; U-Net",
"An J., Du Y., Hong P., Zhang L., Weng X.","Insect recognition based on complementary features from multiple views","10.1038/s41598-023-29600-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148412142&doi=10.1038%2fs41598-023-29600-1&partnerID=40&md5=e4993e5f17dbac082aa75e6481b34198","Insect pest recognition has always been a significant branch of agriculture and ecology. The slight variance among different kinds of insects in appearance makes it hard for human experts to recognize. It is increasingly imperative to finely recognize specific insects by employing machine learning methods. In this study, we proposed a feature fusion network to synthesize feature presentations in different backbone models. Firstly, we employed one CNN-based backbone ResNet, and two attention-based backbones Vision Transformer and Swin Transformer to localize the important regions of insect images with Grad-CAM. During this process, we designed new architectures for these two Transformers to enable Grad-CAM to be applicable in such attention-based models. Then we further proposed an attention-selection mechanism to reconstruct the attention area by delicately integrating the important regions, enabling these partial but key expressions to complement each other. We only need part of the image scope that represents the most crucial decision-making information for insect recognition. We randomly selected 20 species of insects from the IP102 dataset and then adopted all 102 kinds of insects to test the classification performance. Experimental results show that the proposed approach outperforms other advanced CNN-based models. More importantly, our attention-selection mechanism demonstrates good robustness to augmented images. © 2023, The Author(s).",,"article; attention; controlled study; decision making; human; insect; nonhuman; randomized controlled trial; residual neural network; vision; agriculture; animal; ecology; insect; machine learning; power supply; Agriculture; Animals; Ecology; Electric Power Supplies; Humans; Insecta; Machine Learning"
"Angarita-Zapata J.S., Alonso-Vicario A., Masegosa A.D., Legarda J.","A taxonomy of food supply chain problems from a computational intelligence perspective","10.3390/s21206910","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117710418&doi=10.3390%2fs21206910&partnerID=40&md5=e3bd935f09705110f3c43b0f0ee05974","In the last few years, the Internet of Things, and other enabling technologies, have been progressively used for digitizing Food Supply Chains (FSC). These and other digitalization-enabling technologies are generating a massive amount of data with enormous potential to manage supply chains more efficiently and sustainably. Nevertheless, the intricate patterns and complexity embedded in large volumes of data present a challenge for systematic human expert analysis. In such a datadriven context, Computational Intelligence (CI) has achieved significant momentum to analyze, mine, and extract the underlying data information, or solve complex optimization problems, striking a balance between productive efficiency and sustainability of food supply systems. Although some recent studies have sorted the CI literature in this field, they are mainly oriented towards a single family of CI methods (a group of methods that share common characteristics) and review their application in specific FSC stages. As such, there is a gap in identifying and classifying FSC problems from a broader perspective, encompassing the various families of CI methods that can be applied in different stages (from production to retailing) and identifying the problems that arise in these stages from a CI perspective. This paper presents a new and comprehensive taxonomy of FSC problems (associated with agriculture, fish farming, and livestock) from a CI approach; that is, it defines FSC problems (from production to retail) and categorizes them based on how they can be modeled from a CI point of view. Furthermore, we review the CI approaches that are more commonly used in each stage of the FSC and in their corresponding categories of problems. We also introduce a set of guidelines to help FSC researchers and practitioners to decide on suitable families of methods when addressing any particular problems they might encounter. Finally, based on the proposed taxonomy, we identify and discuss challenges and research opportunities that the community should explore to enhance the contributions that CI can bring to the digitization of the FSC. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Agriculture; Computational intelligence; Deep learning; Fish farming; Food supply chain; Fuzzy systems; Livestock; Machine learning; Meta-heuristics; Neural networks; Probabilistic methods","Complex networks; Deep learning; Fish; Food supply; Fuzzy systems; Heuristic methods; Supply chains; Taxonomies; Computational intelligence methods; Deep learning; Enabling technologies; Fish farming; Food supply chain; Human expert; Large volumes; Metaheuristic; Neural-networks; Probabilistic methods; Agriculture; agriculture; animal; artificial intelligence; catering service; food; human; technology; Agriculture; Animals; Artificial Intelligence; Food; Food Supply; Humans; Technology"
"Asif M.R.A., Hasan K.F., Islam M.Z., Khondoker R.","STRIDE-based Cyber Security Threat Modeling for IoT-enabled Precision Agriculture Systems","10.1109/STI53101.2021.9732597","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127443053&doi=10.1109%2fSTI53101.2021.9732597&partnerID=40&md5=63aa3b399e5169e96f354334aa647eb1","The concept of traditional farming is changing rapidly with the introduction of smart technologies like the Internet of Things (IoT). Under the concept of smart agriculture, precision agriculture is gaining popularity to enable Decision Support System (DSS)-based farming management that utilizes widespread IoT sensors and wireless connectivity to enable automated detection and optimization of resources. Undoubtedly the success of the system would be impacted on crop productivity, where failure would impact severely. Like many other cyber-physical systems, one of the growing challenges to avoid system adversity is to ensure the system's security, privacy, and trust. But what are the vulnerabilities, threats, and security issues we should consider while deploying precision agriculture? This paper has conducted a holistic threat modeling on component levels of precision agriculture's standard infrastructure using popular threat intelligence tools STRIDE to identify common security issues. Our modeling identifies a noticing of fifty-eight potential security threats to consider. This presentation systematically presented them and advised general mitigation suggestions to support cyber security in precision agriculture. © 2021 IEEE.","Cyber security; Internet of Things (IoT); Precision Agriculture; STRIDE; Threat Modeling","Artificial intelligence; Decision support systems; Embedded systems; Internet of things; Precision agriculture; Security systems; Agriculture systems; Cyber security; Internet of thing; Precision Agriculture; Security issues; Security threat modeling; Smart agricultures; Smart technology; STRIDE; Threat modeling; Cybersecurity"
"Aswad F.M., Kareem A.N., Khudhur A.M., Khalaf B.A., Mostafa S.A.","Tree-based machine learning algorithms in the Internet of Things environment for multivariate flood status prediction","10.1515/jisys-2021-0179","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120880023&doi=10.1515%2fjisys-2021-0179&partnerID=40&md5=474fc700d88440fbf984de317e8bbaaf","Floods are one of the most common natural disasters in the world that affect all aspects of life, including human beings, agriculture, industry, and education. Research for developing models of flood predictions has been ongoing for the past few years. These models are proposed and built-in proportion for risk reduction, policy proposition, loss of human lives, and property damages associated with floods. However, flood status prediction is a complex process and demands extensive analyses on the factors leading to the occurrence of flooding. Consequently, this research proposes an Internet of Things-based flood status prediction (IoT-FSP) model that is used to facilitate the prediction of the rivers flood situation. The IoT-FSP model applies the Internet of Things architecture to facilitate the flood data acquisition process and three machine learning (ML) algorithms, which are Decision Tree (DT), Decision Jungle, and Random Forest, for the flood prediction process. The IoT-FSP model is implemented in MATLAB and Simulink as development platforms. The results show that the IoT-FSP model successfully performs the data acquisition and prediction tasks and achieves an average accuracy of 85.72% for the three-fold cross-validation results. The research finding shows that the DT scores the highest accuracy of 93.22%, precision of 92.85, and recall of 92.81 among the three ML algorithms. The ability of the ML algorithm to handle multivariate outputs of 13 different flood textual statuses provides the means of manifesting explainable artificial intelligence and enables the IoT-FSP model to act as an early warning and flood monitoring system. © 2022 Firas Mohammed Aswad et al., published by De Gruyter.","explainable artificial intelligence; flood prediction; Internet of Things; machine learning; multivariate classification","Data acquisition; Decision trees; Disasters; Floods; Forecasting; Learning algorithms; Machine learning; Agriculture industries; Explainable artificial intelligence; Flood prediction; Human being; Machine learning algorithms; Multivariate classification; Natural disasters; Prediction modelling; Risks reduction; Tree-based; Internet of things"
"Awan K.A., Din I.U., Almogren A., Almajed H.","Agritrust—a trust management approach for smart agriculture in cloud-based internet of agriculture things","10.3390/s20216174","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094827036&doi=10.3390%2fs20216174&partnerID=40&md5=adad1c45557aa5394a98ec28346c528d","Internet of Things (IoT) provides a diverse platform to automate things where smart agriculture is one of the most promising concepts in the field of Internet of Agriculture Things (IoAT). Due to the requirements of more processing power for computations and predictions, the concept of Cloud-based smart agriculture is proposed for autonomic systems. This is where digital innovation and technology helps to improve the quality of life in the area of urbanization expansion. For the integration of cloud in smart agriculture, the system is shown to have security and privacy challenges, and most significantly, the identification of malicious and compromised nodes along with a secure transmission of information between sensors, cloud, and base station (BS). The identification of malicious and compromised node among soil sensors communicating with the BS is a notable challenge in the BS to cloud communications. The trust management mechanism is proposed as one of the solutions providing a lightweight approach to identify these nodes. In this article, we have proposed a novel trust management mechanism to identify malicious and compromised nodes by utilizing trust parameters. The trust mechanism is an event-driven process that computes trust based on the pre-defined time interval and utilizes the previous trust degree to develop an absolute trust degree. The system also maintains the trust degree of a BS and cloud service providers using distinct approaches. We have also performed extensive simulations to evaluate the performance of the proposed mechanism against several potential attacks. In addition, this research helps to create friendlier environments and efficient agricultural productions for the migration of people to the cities. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.","Digital innovation; Internet of Agriculture Things; Privacy; Smart irrigation system; Trust management; Urbanization","Agricultural robots; Agriculture; Internet of things; Network security; Privacy by design; Agricultural productions; Cloud communications; Cloud service providers; Digital innovations; Extensive simulations; Internet of Things (IOT); Secure transmission; Security and privacy; Trusted computing"
"Babu K.-E.-K.","Artificial intelligence in Bangladesh, its applications in different sectors and relevant challenges for the government: An analysis","10.1504/IJPLAP.2021.118891","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119486010&doi=10.1504%2fIJPLAP.2021.118891&partnerID=40&md5=6303b9415f1ed50679feb2a0bf178baa","Once upon a time, Bangladesh was dependent only on agriculture but with the change of time, the advent of advanced technology has taken place in every field of this country. Automation and control technology is being applied in various industries and artificial intelligence, IoT, big data, blockchain, etc. has become very popular here. For the effective implementation of AI, several specific sectors have been identified here where we see extensive use of AI technologies. For implementing AI technology, Bangladesh government should have to undertake huge preparation where there will be many challenges if the technology is adopted without any proper preparation. The paper briefly discusses the current technological situations in Bangladesh, the concept of AI, its applications in different sectors, and the relevant challenges. The paper also suggests the steps to be taken in the use of AI technology to maintain certain aspects i.e., policy, information privacy, security, and regulations. Copyright © 2021 Inderscience Enterprises Ltd.","4IR; Artificial intelligence; Bangladesh; Economic growth; Education; Fourth industrial revolution; Information technology; Smart mobility",
