,Year,Nutrient nitrogen N (total) - tonnes,Nutrient phosphate P2O5 (total) - tonnes,Nutrient potash K2O (total) - tonnes,Item,harvest_area (ha),tonnes,Yield(hg/ha),"Ammonia, anhydrous",Ammonium nitrate (AN),Ammonium sulphate,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,Diammonium phosphate (DAP),Fertilizers n.e.c.,Monoammonium phosphate (MAP),NPK fertilizers,Other NP compounds,"Other nitrogenous fertilizers, n.e.c.","Other phosphatic fertilizers, n.e.c.","Other potassic fertilizers, n.e.c.",PK compounds,Phosphate rock,Potassium chloride (muriate of potash) (MOP),Potassium nitrate,Potassium sulphate (sulphate of potash) (SOP),Sodium nitrate,Superphosphates above 35%,"Superphosphates, other",Urea,Urea and ammonium nitrate solutions (UAN)
0,2002,1787833,327387,479673,Apricots,100,200.0,20000,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
1,2002,1787833,327387,479673,Asparagus,14222,57196.0,40217,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
2,2002,1787833,327387,479673,Barley,1970335,10927970.0,55462,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
3,2002,1787833,327387,479673,"Broad beans and horse beans, dry",18518,64656.0,34915,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
4,2002,1787833,327387,479673,"Broad beans and horse beans, green",165,2739.0,166000,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
5,2002,1787833,327387,479673,Cabbages,15028,691326.0,460025,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
6,2002,1787833,327387,479673,Carrots and turnips,8961,414960.0,463073,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
7,2002,1787833,327387,479673,Cauliflowers and broccoli,7243,159858.0,220707,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
8,2002,1787833,327387,479673,Cucumbers and gherkins,3300,238785.0,723591,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
9,2002,1787833,327387,479673,Grapes,98772,1368000.0,138501,251998.9,49484.0,115010.1,2037817.1,171022.25,119229.3,59973.51,814618.6,152035.9,113646.79,100861.42,1710.9,157606.5,178244.95,89554.4,11024.5,5346.9,4301.5,120053.1,,385706.3,353589.8
