Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","1990","1990","tonnes","121","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","1991","1991","tonnes","128","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","1992","1992","tonnes","74","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","1993","1993","tonnes","47","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","1994","1994","tonnes","37","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","1995","1995","tonnes","26","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","1996","1996","tonnes","37","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","1997","1997","tonnes","29","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","2018","2018","tonnes","1","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","2019","2019","tonnes","1","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","2020","2020","tonnes","0","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","1990","1990","tonnes","891","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","1991","1991","tonnes","489","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","1992","1992","tonnes","469","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","1993","1993","tonnes","448","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","1994","1994","tonnes","510","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","1995","1995","tonnes","381","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","1996","1996","tonnes","364","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","1997","1997","tonnes","305","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","1998","1998","tonnes","435","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","1999","1999","tonnes","473","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2000","2000","tonnes","449.78","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2001","2001","tonnes","393.86","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2002","2002","tonnes","296.68","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2003","2003","tonnes","386.61","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2004","2004","tonnes","495.05","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2005","2005","tonnes","247.44","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2006","2006","tonnes","120.82","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2007","2007","tonnes","293.8","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2008","2008","tonnes","195.9","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2009","2009","tonnes","336.08","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2010","2010","tonnes","237.59","A","Official figure"
"RP","Pesticides Use","276","Germany","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2011","2011","tonnes","79.44","A","Official figure"
