,Crop,Variable,Correlation
0,Apricots,Year,0.4205938499573947
1,Apricots,Nutrient nitrogen N (total) - tonnes,-0.20196524116563955
2,Apricots,Nutrient phosphate P2O5 (total) - tonnes,-0.11369542526295151
3,Apricots,Nutrient potash K2O (total) - tonnes,0.07883119848063715
4,Apricots,harvest_area (ha),-0.594072046251632
5,Apricots,tonnes,0.9633318432802588
6,Apricots,"Ammonia, anhydrous",0.48878367623631963
7,Apricots,Ammonium nitrate (AN),-0.6167331659907459
8,Apricots,Ammonium sulphate,0.3283694713186104
9,Apricots,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,-0.49778329255744275
10,Apricots,Diammonium phosphate (DAP),0.07954756839083792
11,Apricots,Fertilizers n.e.c.,0.259593104885056
12,Apricots,Monoammonium phosphate (MAP),-0.39613848204811
13,Apricots,NPK fertilizers,0.07240821094486775
14,Apricots,Other NP compounds,-0.1893783383327573
15,Apricots,"Other nitrogenous fertilizers, n.e.c.",0.9493917657198392
16,Apricots,"Other phosphatic fertilizers, n.e.c.",-0.5622240565195509
17,Apricots,"Other potassic fertilizers, n.e.c.",-0.2329577486215776
18,Apricots,PK compounds,-0.4772360503782625
19,Apricots,Phosphate rock,-0.11455844523164514
20,Apricots,Potassium chloride (muriate of potash) (MOP),0.39170071816981983
21,Apricots,Potassium nitrate,0.5907544902154205
22,Apricots,Potassium sulphate (sulphate of potash) (SOP),0.044891028780814406
23,Apricots,Sodium nitrate,0.9019727899448631
24,Apricots,Superphosphates above 35%,-0.14706520147015753
25,Apricots,"Superphosphates, other",
26,Apricots,Urea,-0.562474494466754
27,Apricots,Urea and ammonium nitrate solutions (UAN),-0.8021652341926859
28,Asparagus,Year,0.8641031777133262
29,Asparagus,Nutrient nitrogen N (total) - tonnes,-0.5085563522604308
30,Asparagus,Nutrient phosphate P2O5 (total) - tonnes,-0.46204278915623476
31,Asparagus,Nutrient potash K2O (total) - tonnes,-0.2928564256119115
32,Asparagus,harvest_area (ha),0.8264111013348316
33,Asparagus,tonnes,0.933807171065106
34,Asparagus,"Ammonia, anhydrous",0.8460101096274609
35,Asparagus,Ammonium nitrate (AN),-0.6990005305292181
36,Asparagus,Ammonium sulphate,0.4660033629703393
37,Asparagus,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,-0.05926647308295941
38,Asparagus,Diammonium phosphate (DAP),0.6319416111700741
39,Asparagus,Fertilizers n.e.c.,0.01990182072510771
40,Asparagus,Monoammonium phosphate (MAP),-0.8259318415059146
41,Asparagus,NPK fertilizers,-0.7975104865421695
42,Asparagus,Other NP compounds,-0.6113992736989419
43,Asparagus,"Other nitrogenous fertilizers, n.e.c.",0.7668604192474605
44,Asparagus,"Other phosphatic fertilizers, n.e.c.",-0.6440494919226892
45,Asparagus,"Other potassic fertilizers, n.e.c.",0.5826543672297754
46,Asparagus,PK compounds,-0.8134884968100154
47,Asparagus,Phosphate rock,-0.5957024622126944
48,Asparagus,Potassium chloride (muriate of potash) (MOP),0.537576452975079
49,Asparagus,Potassium nitrate,0.31226281011053525
50,Asparagus,Potassium sulphate (sulphate of potash) (SOP),0.6605250362597316
51,Asparagus,Sodium nitrate,-0.4687253103344321
52,Asparagus,Superphosphates above 35%,-0.8296125747505891
53,Asparagus,"Superphosphates, other",0.7086998398281547
54,Asparagus,Urea,0.6254531403520008
55,Asparagus,Urea and ammonium nitrate solutions (UAN),-0.604606848514595
56,Barley,Year,0.5813466653679097
57,Barley,Nutrient nitrogen N (total) - tonnes,-0.17530133548582694
58,Barley,Nutrient phosphate P2O5 (total) - tonnes,-0.12298053813655246
59,Barley,Nutrient potash K2O (total) - tonnes,-0.13859294464483535
60,Barley,harvest_area (ha),-0.5818999468701422
61,Barley,tonnes,0.4371553141208707
62,Barley,"Ammonia, anhydrous",0.5404437314240689
63,Barley,Ammonium nitrate (AN),-0.5386081650533974
64,Barley,Ammonium sulphate,0.25633745862214685
65,Barley,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,-0.15726637396210805
66,Barley,Diammonium phosphate (DAP),0.6240089461870699
67,Barley,Fertilizers n.e.c.,0.14237271244440355
68,Barley,Monoammonium phosphate (MAP),-0.610350524076626
69,Barley,NPK fertilizers,-0.47023266928540114
70,Barley,Other NP compounds,-0.4110040894575211
71,Barley,"Other nitrogenous fertilizers, n.e.c.",0.6734938226535544
72,Barley,"Other phosphatic fertilizers, n.e.c.",-0.31933382505968294
73,Barley,"Other potassic fertilizers, n.e.c.",0.37461689125820696
74,Barley,PK compounds,-0.46707639003737644
75,Barley,Phosphate rock,-0.26724273950411714
76,Barley,Potassium chloride (muriate of potash) (MOP),0.6313369881837667
77,Barley,Potassium nitrate,0.12722330287444086
78,Barley,Potassium sulphate (sulphate of potash) (SOP),0.4919553209145357
79,Barley,Sodium nitrate,-0.477561126978484
80,Barley,Superphosphates above 35%,-0.30794320320546664
81,Barley,"Superphosphates, other",-0.1906173129741935
82,Barley,Urea,0.527224400163769
83,Barley,Urea and ammonium nitrate solutions (UAN),-0.3703851470107938
84,"Broad beans and horse beans, dry",Year,0.13764564894327563
85,"Broad beans and horse beans, dry",Nutrient nitrogen N (total) - tonnes,0.08227445767045483
86,"Broad beans and horse beans, dry",Nutrient phosphate P2O5 (total) - tonnes,0.017355908901227644
87,"Broad beans and horse beans, dry",Nutrient potash K2O (total) - tonnes,0.045467853768827574
88,"Broad beans and horse beans, dry",harvest_area (ha),-0.034795001470598635
89,"Broad beans and horse beans, dry",tonnes,0.17597571492833783
90,"Broad beans and horse beans, dry","Ammonia, anhydrous",0.03776899910986661
