Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1961","1961","tonnes","877000","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1962","1962","tonnes","1030961","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1963","1963","tonnes","1035513","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1964","1964","tonnes","1123006","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1965","1965","tonnes","1287623","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1966","1966","tonnes","1321319","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1967","1967","tonnes","1344010","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1968","1968","tonnes","1443368","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1969","1969","tonnes","1571976","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1970","1970","tonnes","1642022","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1971","1971","tonnes","1707834","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1972","1972","tonnes","1846922","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1973","1973","tonnes","1766941","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1974","1974","tonnes","1872239","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1975","1975","tonnes","1906142","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1976","1976","tonnes","2077951","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1977","1977","tonnes","2095502","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1978","1978","tonnes","2138054","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1979","1979","tonnes","2225089","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1980","1980","tonnes","2302615","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1981","1981","tonnes","2072801","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1982","1982","tonnes","2171500","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1983","1983","tonnes","2071756","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1984","1984","tonnes","2148741","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1985","1985","tonnes","2285700","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1986","1986","tonnes","2287242","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1987","1987","tonnes","2375335","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1988","1988","tonnes","2413000","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1989","1989","tonnes","2253000","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1990","1990","tonnes","1787300","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1991","1991","tonnes","1720000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1992","1992","tonnes","1680000","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1993","1993","tonnes","1612215","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1994","1994","tonnes","1787436","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1995","1995","tonnes","1770000","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1996","1996","tonnes","1758008","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1997","1997","tonnes","1788388","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1998","1998","tonnes","1903017","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1999","1999","tonnes","2014010","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2000","2000","tonnes","1847507","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2001","2001","tonnes","1792212","X","Figure from international organizations"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2002","2002","tonnes","1787833","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2003","2003","tonnes","1827767","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2004","2004","tonnes","1778438","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2005","2005","tonnes","1784996","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2006","2006","tonnes","1599788","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2007","2007","tonnes","1807176","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2008","2008","tonnes","1550625","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2009","2009","tonnes","1569045","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2010","2010","tonnes","1786485","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2011","2011","tonnes","1640414","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2012","2012","tonnes","1648828","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2013","2013","tonnes","1675289","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2014","2014","tonnes","1822791","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2015","2015","tonnes","1710616","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2016","2016","tonnes","1658837","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","1496649","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","1342284","A","Official figure"
"RFN","Fertilizers by Nutrient","276","Germany","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","1372084","A","Official figure"
