Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","276","Germany","5110","Area","6602","Agriculture","1961","1961","1000 ha","19375","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6602","Agriculture","1962","1962","1000 ha","19393","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6602","Agriculture","1963","1963","1000 ha","19402","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6602","Agriculture","1964","1964","1000 ha","19458","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6602","Agriculture","1965","1965","1000 ha","19534","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6602","Agriculture","1966","1966","1000 ha","19531","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6602","Agriculture","1967","1967","1000 ha","19412","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6602","Agriculture","1968","1968","1000 ha","19285","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6602","Agriculture","1969","1969","1000 ha","19254","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6602","Agriculture","1970","1970","1000 ha","19023","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6602","Agriculture","1971","1971","1000 ha","18952","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6602","Agriculture","1972","1972","1000 ha","18949","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6602","Agriculture","1973","1973","1000 ha","18897","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6602","Agriculture","1974","1974","1000 ha","18821","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6602","Agriculture","1975","1975","1000 ha","18792","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6602","Agriculture","1976","1976","1000 ha","18758","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6602","Agriculture","1977","1977","1000 ha","18709","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6602","Agriculture","1978","1978","1000 ha","18659","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6602","Agriculture","1979","1979","1000 ha","18594","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6602","Agriculture","1980","1980","1000 ha","18519","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6602","Agriculture","1981","1981","1000 ha","18461","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6602","Agriculture","1982","1982","1000 ha","18396","I","Imputed value"
