Year,Nutrient nitrogen N (total) - tonnes,Nutrient phosphate P2O5 (total) - tonnes,Nutrient potash K2O (total) - tonnes,Item,Yield(tonnes/ha),Fung & Bact – Benzimidazoles,"Fung & Bact – Diazines, morpholines",Fung & Bact – Dithiocarbamates,Fung & Bact – Inorganics,Fung & Bact – Other,"Fung & Bact – Triazoles, diazoles",Herbicides – Amides,Herbicides – Carbamates,Herbicides – Dinitroanilines,Herbicides – Other,Herbicides – Phenoxy hormone products,Herbicides – Triazines,Herbicides – Urea derivates,Insecticides – Botanical products and biologicals,Insecticides – Carbamates,Insecticides – Organo-phosphates,Insecticides – Other,Insecticides – Pyrethroids,Mineral Oils,Plant Growth Regulators,Rodenticides – Other,Herbicides – Bipiridils,Herbicides – Sulfonyl ureas,Rodenticides – Anti-coagulants,yield_t-1,yield_t-2,yield_t-3
1993,1612215,415000,645000,Cabbages,47.9918,142.0,188.0,2413.0,2193.0,1768.0,956.0,782.0,1056.0,423.0,4802.0,2768.0,355.0,2326.0,301.0,131.0,448.0,807.0,56.0,682.0,2293.0,48.0,161.0,23.0,1.0,5.0008,22.5102,5.9811
1993,1612215,415000,645000,Grapes,13.3336,142.0,188.0,2413.0,2193.0,1768.0,956.0,782.0,1056.0,423.0,4802.0,2768.0,355.0,2326.0,301.0,131.0,448.0,807.0,56.0,682.0,2293.0,48.0,161.0,23.0,1.0,47.9918,5.0008,22.5102
1993,1612215,415000,645000,Maize (corn),8.0227,142.0,188.0,2413.0,2193.0,1768.0,956.0,782.0,1056.0,423.0,4802.0,2768.0,355.0,2326.0,301.0,131.0,448.0,807.0,56.0,682.0,2293.0,48.0,161.0,23.0,1.0,13.3336,47.9918,5.0008
1993,1612215,415000,645000,Potatoes,39.2539,142.0,188.0,2413.0,2193.0,1768.0,956.0,782.0,1056.0,423.0,4802.0,2768.0,355.0,2326.0,301.0,131.0,448.0,807.0,56.0,682.0,2293.0,48.0,161.0,23.0,1.0,8.0227,13.3336,47.9918
1993,1612215,415000,645000,Rape or colza seed,2.8286,142.0,188.0,2413.0,2193.0,1768.0,956.0,782.0,1056.0,423.0,4802.0,2768.0,355.0,2326.0,301.0,131.0,448.0,807.0,56.0,682.0,2293.0,48.0,161.0,23.0,1.0,39.2539,8.0227,13.3336
1993,1612215,415000,645000,Rye,4.5082,142.0,188.0,2413.0,2193.0,1768.0,956.0,782.0,1056.0,423.0,4802.0,2768.0,355.0,2326.0,301.0,131.0,448.0,807.0,56.0,682.0,2293.0,48.0,161.0,23.0,1.0,2.8286,39.2539,8.0227
1993,1612215,415000,645000,Sugar beet,54.8293,142.0,188.0,2413.0,2193.0,1768.0,956.0,782.0,1056.0,423.0,4802.0,2768.0,355.0,2326.0,301.0,131.0,448.0,807.0,56.0,682.0,2293.0,48.0,161.0,23.0,1.0,4.5082,2.8286,39.2539
1993,1612215,415000,645000,Wheat,6.5841,142.0,188.0,2413.0,2193.0,1768.0,956.0,782.0,1056.0,423.0,4802.0,2768.0,355.0,2326.0,301.0,131.0,448.0,807.0,56.0,682.0,2293.0,48.0,161.0,23.0,1.0,54.8293,4.5082,2.8286
1994,1787436,451000,668000,Apples,24.1621,176.0,614.0,2427.0,2078.0,1460.0,943.0,957.0,1342.0,148.0,5284.0,3040.0,384.0,3604.0,173.0,110.0,510.0,565.0,44.0,667.0,1672.0,19.0,51.0,24.0,1.0,6.5841,54.8293,4.5082
1994,1787436,451000,668000,Barley,5.2681,176.0,614.0,2427.0,2078.0,1460.0,943.0,957.0,1342.0,148.0,5284.0,3040.0,384.0,3604.0,173.0,110.0,510.0,565.0,44.0,667.0,1672.0,19.0,51.0,24.0,1.0,24.1621,6.5841,54.8293
1994,1787436,451000,668000,Cabbages,45.4196,176.0,614.0,2427.0,2078.0,1460.0,943.0,957.0,1342.0,148.0,5284.0,3040.0,384.0,3604.0,173.0,110.0,510.0,565.0,44.0,667.0,1672.0,19.0,51.0,24.0,1.0,5.2681,24.1621,6.5841
1994,1787436,451000,668000,Grapes,14.6539,176.0,614.0,2427.0,2078.0,1460.0,943.0,957.0,1342.0,148.0,5284.0,3040.0,384.0,3604.0,173.0,110.0,510.0,565.0,44.0,667.0,1672.0,19.0,51.0,24.0,1.0,45.4196,5.2681,24.1621
1994,1787436,451000,668000,Maize (corn),7.0808,176.0,614.0,2427.0,2078.0,1460.0,943.0,957.0,1342.0,148.0,5284.0,3040.0,384.0,3604.0,173.0,110.0,510.0,565.0,44.0,667.0,1672.0,19.0,51.0,24.0,1.0,14.6539,45.4196,5.2681
1994,1787436,451000,668000,Potatoes,32.9512,176.0,614.0,2427.0,2078.0,1460.0,943.0,957.0,1342.0,148.0,5284.0,3040.0,384.0,3604.0,173.0,110.0,510.0,565.0,44.0,667.0,1672.0,19.0,51.0,24.0,1.0,7.0808,14.6539,45.4196
