,Year,Nutrient nitrogen N (total) - tonnes,Nutrient phosphate P2O5 (total) - tonnes,Nutrient potash K2O (total) - tonnes,Item,Yield(tonnes/ha),Fung & Bact – Benzimidazoles,"Fung & Bact – Diazines, morpholines",Fung & Bact – Dithiocarbamates,Fung & Bact – Inorganics,Fung & Bact – Other,"Fung & Bact – Triazoles, diazoles",Herbicides – Amides,Herbicides – Carbamates,Herbicides – Dinitroanilines,Herbicides – Other,Herbicides – Phenoxy hormone products,Herbicides – Triazines,Herbicides – Urea derivates,Insecticides – Botanical products and biologicals,Insecticides – Carbamates,Insecticides – Organo-phosphates,Insecticides – Other,Insecticides – Pyrethroids,Mineral Oils,Plant Growth Regulators,Rodenticides – Other,Herbicides – Bipiridils,Herbicides – Sulfonyl ureas,Rodenticides – Anti-coagulants
0,1990,1787300,609000,954400,Apples,26.3272,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
1,1990,1787300,609000,954400,Apricots,2.5781,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
2,1990,1787300,609000,954400,Asparagus,2.7611,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
3,1990,1787300,609000,954400,Barley,5.3558,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
4,1990,1787300,609000,954400,"Beans, dry",3.0736,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
5,1990,1787300,609000,954400,"Broad beans and horse beans, dry",3.2366,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
6,1990,1787300,609000,954400,"Broad beans and horse beans, green",5.8766,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
7,1990,1787300,609000,954400,Cabbages,38.3244,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
8,1990,1787300,609000,954400,Carrots and turnips,30.2912,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
9,1990,1787300,609000,954400,Cauliflowers and broccoli,21.1642,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
10,1990,1787300,609000,954400,Cherries,5.0828,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
11,1990,1787300,609000,954400,Cucumbers and gherkins,38.9615,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
12,1990,1787300,609000,954400,Currants,7.0383,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
13,1990,1787300,609000,954400,Gooseberries,6.8081,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
14,1990,1787300,609000,954400,Grapes,13.442,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
15,1990,1787300,609000,954400,Hop cones,1.3583,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
16,1990,1787300,609000,954400,Leeks and other alliaceous vegetables,23.0971,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
17,1990,1787300,609000,954400,"Lentils, dry",5.8824,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
18,1990,1787300,609000,954400,Lettuce and chicory,22.7161,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
19,1990,1787300,609000,954400,Lupins,0.6579,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
20,1990,1787300,609000,954400,Maize (corn),6.7762,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
21,1990,1787300,609000,954400,Mixed grain,4.5527,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
22,1990,1787300,609000,954400,Mustard seed,1.4,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
23,1990,1787300,609000,954400,Oats,4.4535,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
24,1990,1787300,609000,954400,"Onions and shallots, dry (excluding dehydrated)",31.5039,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
25,1990,1787300,609000,954400,"Other beans, green",7.028,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
26,1990,1787300,609000,954400,Other pulses n.e.c.,3.3174,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
27,1990,1787300,609000,954400,"Other vegetables, fresh n.e.c.",18.75,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
