,Year,Item,harvest_area (ha),tonnes,Yield(hg/ha),Natural gas supply to industrial consumers - (Cents/kWh),Energy Price( cents per kilowatt hour),agricultural_land(1000 ha),forest_land(1000 ha)
0,2010,Apples,31819,834960.0,262409,80,12.07,16700,11409.0
1,2010,Apples,31819,834960.0,262409,80,12.07,16700,5704.5
2,2010,Apples,31819,834960.0,262409,80,12.07,12045,11409.0
3,2010,Apples,31819,834960.0,262409,80,12.07,12045,5704.5
4,2010,Asparagus,18794,92404.0,49167,80,12.07,16700,11409.0
5,2010,Asparagus,18794,92404.0,49167,80,12.07,16700,5704.5
6,2010,Asparagus,18794,92404.0,49167,80,12.07,12045,11409.0
7,2010,Asparagus,18794,92404.0,49167,80,12.07,12045,5704.5
8,2010,Barley,1641322,10326918.0,62918,80,12.07,16700,11409.0
9,2010,Barley,1641322,10326918.0,62918,80,12.07,16700,5704.5
10,2010,Barley,1641322,10326918.0,62918,80,12.07,12045,11409.0
11,2010,Barley,1641322,10326918.0,62918,80,12.07,12045,5704.5
12,2010,Blueberries,1429,8305.0,58118,80,12.07,16700,11409.0
13,2010,Blueberries,1429,8305.0,58118,80,12.07,16700,5704.5
14,2010,Blueberries,1429,8305.0,58118,80,12.07,12045,11409.0
15,2010,Blueberries,1429,8305.0,58118,80,12.07,12045,5704.5
16,2010,"Broad beans and horse beans, dry",16293,49922.0,30640,80,12.07,16700,11409.0
17,2010,"Broad beans and horse beans, dry",16293,49922.0,30640,80,12.07,16700,5704.5
18,2010,"Broad beans and horse beans, dry",16293,49922.0,30640,80,12.07,12045,11409.0
19,2010,"Broad beans and horse beans, dry",16293,49922.0,30640,80,12.07,12045,5704.5
20,2010,"Broad beans and horse beans, green",412,3639.0,88325,80,12.07,16700,11409.0
21,2010,"Broad beans and horse beans, green",412,3639.0,88325,80,12.07,16700,5704.5
22,2010,"Broad beans and horse beans, green",412,3639.0,88325,80,12.07,12045,11409.0
23,2010,"Broad beans and horse beans, green",412,3639.0,88325,80,12.07,12045,5704.5
24,2010,Cabbages,14471,787065.0,543891,80,12.07,16700,11409.0
25,2010,Cabbages,14471,787065.0,543891,80,12.07,16700,5704.5
26,2010,Cabbages,14471,787065.0,543891,80,12.07,12045,11409.0
27,2010,Cabbages,14471,787065.0,543891,80,12.07,12045,5704.5
28,2010,Carrots and turnips,10367,553972.0,534361,80,12.07,16700,11409.0
29,2010,Carrots and turnips,10367,553972.0,534361,80,12.07,16700,5704.5
30,2010,Carrots and turnips,10367,553972.0,534361,80,12.07,12045,11409.0
31,2010,Carrots and turnips,10367,553972.0,534361,80,12.07,12045,5704.5
32,2010,Cauliflowers and broccoli,6548,151977.0,232097,80,12.07,16700,11409.0
33,2010,Cauliflowers and broccoli,6548,151977.0,232097,80,12.07,16700,5704.5
34,2010,Cauliflowers and broccoli,6548,151977.0,232097,80,12.07,12045,11409.0
35,2010,Cauliflowers and broccoli,6548,151977.0,232097,80,12.07,12045,5704.5
36,2010,Cherries,5389,30831.0,57211,80,12.07,16700,11409.0
37,2010,Cherries,5389,30831.0,57211,80,12.07,16700,5704.5
38,2010,Cherries,5389,30831.0,57211,80,12.07,12045,11409.0
39,2010,Cherries,5389,30831.0,57211,80,12.07,12045,5704.5
40,2010,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",39,2159.0,553590,80,12.07,16700,11409.0
41,2010,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",39,2159.0,553590,80,12.07,16700,5704.5
42,2010,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",39,2159.0,553590,80,12.07,12045,11409.0
43,2010,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",39,2159.0,553590,80,12.07,12045,5704.5
44,2010,Cucumbers and gherkins,3111,242818.0,780514,80,12.07,16700,11409.0
45,2010,Cucumbers and gherkins,3111,242818.0,780514,80,12.07,16700,5704.5
46,2010,Cucumbers and gherkins,3111,242818.0,780514,80,12.07,12045,11409.0
47,2010,Cucumbers and gherkins,3111,242818.0,780514,80,12.07,12045,5704.5
48,2010,Currants,2140,11927.0,55734,80,12.07,16700,11409.0
49,2010,Currants,2140,11927.0,55734,80,12.07,16700,5704.5
50,2010,Currants,2140,11927.0,55734,80,12.07,12045,11409.0
51,2010,Currants,2140,11927.0,55734,80,12.07,12045,5704.5
52,2010,Hop cones,18386,34249.0,18628,80,12.07,16700,11409.0
53,2010,Hop cones,18386,34249.0,18628,80,12.07,16700,5704.5
54,2010,Hop cones,18386,34249.0,18628,80,12.07,12045,11409.0
55,2010,Hop cones,18386,34249.0,18628,80,12.07,12045,5704.5
56,2010,Leeks and other alliaceous vegetables,2311,80255.0,347274,80,12.07,16700,11409.0
57,2010,Leeks and other alliaceous vegetables,2311,80255.0,347274,80,12.07,16700,5704.5
58,2010,Leeks and other alliaceous vegetables,2311,80255.0,347274,80,12.07,12045,11409.0
59,2010,Leeks and other alliaceous vegetables,2311,80255.0,347274,80,12.07,12045,5704.5
60,2010,Lettuce and chicory,14583,304041.0,208490,80,12.07,16700,11409.0
61,2010,Lettuce and chicory,14583,304041.0,208490,80,12.07,16700,5704.5
62,2010,Lettuce and chicory,14583,304041.0,208490,80,12.07,12045,11409.0
63,2010,Lettuce and chicory,14583,304041.0,208490,80,12.07,12045,5704.5
64,2010,Lupins,24006,30578.0,12738,80,12.07,16700,11409.0
65,2010,Lupins,24006,30578.0,12738,80,12.07,16700,5704.5
66,2010,Lupins,24006,30578.0,12738,80,12.07,12045,11409.0
67,2010,Lupins,24006,30578.0,12738,80,12.07,12045,5704.5
68,2010,Maize (corn),466591,4211501.0,90261,80,12.07,16700,11409.0
69,2010,Maize (corn),466591,4211501.0,90261,80,12.07,16700,5704.5
70,2010,Maize (corn),466591,4211501.0,90261,80,12.07,12045,11409.0
71,2010,Maize (corn),466591,4211501.0,90261,80,12.07,12045,5704.5
72,2010,Mixed grain,15808,61915.0,39167,80,12.07,16700,11409.0
73,2010,Mixed grain,15808,61915.0,39167,80,12.07,16700,5704.5
74,2010,Mixed grain,15808,61915.0,39167,80,12.07,12045,11409.0
75,2010,Mixed grain,15808,61915.0,39167,80,12.07,12045,5704.5
76,2010,Oats,141433,598049.0,42285,80,12.07,16700,11409.0
77,2010,Oats,141433,598049.0,42285,80,12.07,16700,5704.5
78,2010,Oats,141433,598049.0,42285,80,12.07,12045,11409.0
79,2010,Oats,141433,598049.0,42285,80,12.07,12045,5704.5
80,2010,"Onions and shallots, dry (excluding dehydrated)",8762,387114.0,441810,80,12.07,16700,11409.0
81,2010,"Onions and shallots, dry (excluding dehydrated)",8762,387114.0,441810,80,12.07,16700,5704.5
82,2010,"Onions and shallots, dry (excluding dehydrated)",8762,387114.0,441810,80,12.07,12045,11409.0
83,2010,"Onions and shallots, dry (excluding dehydrated)",8762,387114.0,441810,80,12.07,12045,5704.5
84,2010,"Onions and shallots, green",1698,59963.0,353139,80,12.07,16700,11409.0
85,2010,"Onions and shallots, green",1698,59963.0,353139,80,12.07,16700,5704.5
86,2010,"Onions and shallots, green",1698,59963.0,353139,80,12.07,12045,11409.0
87,2010,"Onions and shallots, green",1698,59963.0,353139,80,12.07,12045,5704.5
88,2010,"Other beans, green",3925,41398.0,105473,80,12.07,16700,11409.0
89,2010,"Other beans, green",3925,41398.0,105473,80,12.07,16700,5704.5
