km,yearto2019,owner,price
36599,7,1,6190
57000,6,2,6900
102350,3,1,7222
65300,5,1,7500
28053,4,1,7749
56467,4,1,7912
46300,3,1,8490
20990,2,1,8690
95000,1,1,8760
17940,0,1,10490
7200,0,1,10800
7,0,1,10850
16272,0,1,10890
15511,0,1,11890
3500,0,1,11990
6800,0,1,12530
11675,0,1,13740
6000,0,1,12745
5000,0,1,15870
9975,1,1,15885
2500,0,1,15990
5990,1,1,15990
5000,0,1,16270
5000,0,1,16680
6771,0,1,18970
53357,6,2,4980
62400,3,1,5980
40049,3,2,6510
59683,4,1,6775
37200,4,2,6800
