Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","276","Germany","5510","Production","4007","Ammonia, anhydrous","2015","2015","tonnes","606149","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5510","Production","4007","Ammonia, anhydrous","2016","2016","tonnes","630675","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5510","Production","4007","Ammonia, anhydrous","2017","2017","tonnes","671318","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5510","Production","4007","Ammonia, anhydrous","2018","2018","tonnes","760826","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5510","Production","4007","Ammonia, anhydrous","2019","2019","tonnes","653410","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5510","Production","4007","Ammonia, anhydrous","2020","2020","tonnes","671677","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4007","Ammonia, anhydrous","2002","2002","tonnes","251998.9","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4007","Ammonia, anhydrous","2003","2003","tonnes","362930.9","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4007","Ammonia, anhydrous","2004","2004","tonnes","373226.6","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4007","Ammonia, anhydrous","2005","2005","tonnes","337252","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4007","Ammonia, anhydrous","2006","2006","tonnes","467521.7","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4007","Ammonia, anhydrous","2007","2007","tonnes","507932.9","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4007","Ammonia, anhydrous","2008","2008","tonnes","525350.06","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4007","Ammonia, anhydrous","2009","2009","tonnes","546527.04","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4007","Ammonia, anhydrous","2010","2010","tonnes","550907.16","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4007","Ammonia, anhydrous","2011","2011","tonnes","481664.77","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4007","Ammonia, anhydrous","2012","2012","tonnes","421158.5","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4007","Ammonia, anhydrous","2013","2013","tonnes","503522.75","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4007","Ammonia, anhydrous","2014","2014","tonnes","663306.88","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4007","Ammonia, anhydrous","2015","2015","tonnes","713613.04","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4007","Ammonia, anhydrous","2016","2016","tonnes","577700.65","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4007","Ammonia, anhydrous","2017","2017","tonnes","599158.07","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4007","Ammonia, anhydrous","2018","2018","tonnes","579010.95","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4007","Ammonia, anhydrous","2019","2019","tonnes","560839.77","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4007","Ammonia, anhydrous","2020","2020","tonnes","520169.51","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4003","Ammonium nitrate (AN)","2002","2002","tonnes","49484","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4003","Ammonium nitrate (AN)","2003","2003","tonnes","29877.5","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4003","Ammonium nitrate (AN)","2004","2004","tonnes","17952.8","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4003","Ammonium nitrate (AN)","2005","2005","tonnes","11564.1","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4003","Ammonium nitrate (AN)","2006","2006","tonnes","13494.5","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4003","Ammonium nitrate (AN)","2007","2007","tonnes","13245","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4003","Ammonium nitrate (AN)","2008","2008","tonnes","18898.54","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4003","Ammonium nitrate (AN)","2009","2009","tonnes","15844.99","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4003","Ammonium nitrate (AN)","2010","2010","tonnes","13878.74","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4003","Ammonium nitrate (AN)","2011","2011","tonnes","13305.04","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4003","Ammonium nitrate (AN)","2012","2012","tonnes","13628.62","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4003","Ammonium nitrate (AN)","2013","2013","tonnes","8966.12","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4003","Ammonium nitrate (AN)","2014","2014","tonnes","9034.87","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4003","Ammonium nitrate (AN)","2015","2015","tonnes","8049.13","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4003","Ammonium nitrate (AN)","2016","2016","tonnes","10705.79","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4003","Ammonium nitrate (AN)","2017","2017","tonnes","13298.35","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4003","Ammonium nitrate (AN)","2018","2018","tonnes","12924.42","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4003","Ammonium nitrate (AN)","2019","2019","tonnes","8899.72","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4003","Ammonium nitrate (AN)","2020","2020","tonnes","10297.04","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4002","Ammonium sulphate","2002","2002","tonnes","115010.1","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4002","Ammonium sulphate","2003","2003","tonnes","154645.7","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4002","Ammonium sulphate","2004","2004","tonnes","137214.5","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4002","Ammonium sulphate","2005","2005","tonnes","116243.69","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4002","Ammonium sulphate","2006","2006","tonnes","144216.9","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4002","Ammonium sulphate","2007","2007","tonnes","135751.1","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4002","Ammonium sulphate","2008","2008","tonnes","218425.37","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4002","Ammonium sulphate","2009","2009","tonnes","141858.29","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4002","Ammonium sulphate","2010","2010","tonnes","190260.64","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4002","Ammonium sulphate","2011","2011","tonnes","188938.28","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4002","Ammonium sulphate","2012","2012","tonnes","157918.78","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4002","Ammonium sulphate","2013","2013","tonnes","96018.48","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4002","Ammonium sulphate","2014","2014","tonnes","179053.77","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4002","Ammonium sulphate","2015","2015","tonnes","152342.96","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4002","Ammonium sulphate","2016","2016","tonnes","155396.33","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4002","Ammonium sulphate","2017","2017","tonnes","226844.64","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4002","Ammonium sulphate","2018","2018","tonnes","148090.75","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4002","Ammonium sulphate","2019","2019","tonnes","217332.13","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4002","Ammonium sulphate","2020","2020","tonnes","148115.59","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2002","2002","tonnes","2037817.1","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2003","2003","tonnes","2414855.1","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2004","2004","tonnes","1932859.8","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2005","2005","tonnes","2172743","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2006","2006","tonnes","2109372.8","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2007","2007","tonnes","1868360.1","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2008","2008","tonnes","2440516.08","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2009","2009","tonnes","2093245.97","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2010","2010","tonnes","2329607.04","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2011","2011","tonnes","2695823.71","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2012","2012","tonnes","2316695.1","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2013","2013","tonnes","2059690.3","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2014","2014","tonnes","2461152.97","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2015","2015","tonnes","2092902.68","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2016","2016","tonnes","1890834.96","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2017","2017","tonnes","2012129.95","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2018","2018","tonnes","1688382.51","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2019","2019","tonnes","1866376.32","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2020","2020","tonnes","2008676.33","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2002","2002","tonnes","171022.25","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2003","2003","tonnes","166872.1","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2004","2004","tonnes","187095.5","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2005","2005","tonnes","178610.6","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2006","2006","tonnes","114630.6","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2007","2007","tonnes","162436.6","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2008","2008","tonnes","177275.15","A","Official figure"
