,Year,Item,harvest_area (ha),Yield(hg/ha)
0,1991,Apples,39200,199184
1,1992,Apples,39200,351480
2,1993,Apples,39200,225102
3,1994,Apples,36400,241621
4,1995,Apples,36100,158809
5,1996,Apples,36400,241236
6,1997,Apples,35800,213575
7,1998,Apples,35800,272961
8,1999,Apples,35800,289413
9,2000,Apples,125000,250944
10,2001,Apples,70000,254143
11,2003,Apples,31164,262493
12,2004,Apples,32345,302900
13,2005,Apples,32339,275643
14,2006,Apples,32504,291537
15,2007,Apples,31721,337327
16,2008,Apples,31800,329244
17,2009,Apples,31813,336554
18,2010,Apples,31819,262409
19,2011,Apples,31608,284247
20,2012,Apples,31640,307334
21,2013,Apples,31647,253984
22,2014,Apples,31465,354648
23,2015,Apples,31408,309941
24,2016,Apples,31334,329646
25,2017,Apples,33913,175940
26,2018,Apples,33980,352713
27,2019,Apples,33980,291775
28,2020,Apples,33980,301154
29,2021,Apples,33980,295653
30,1991,Apricots,100,90000
31,1992,Apricots,100,50000
32,1993,Apricots,100,20000
33,1994,Apricots,100,10000
34,1995,Apricots,100,20000
35,1996,Apricots,100,30000
36,1997,Apricots,100,10000
37,1998,Apricots,100,20000
38,1999,Apricots,100,20000
39,2000,Apricots,100,30000
40,2001,Apricots,100,10000
41,2002,Apricots,100,20000
42,2003,Apricots,53,34906
43,2004,Apricots,53,92264
44,2005,Apricots,53,40755
45,2006,Apricots,53,56604
46,2007,Apricots,55,56364
47,1969,Asparagus,5956,27005
48,1970,Asparagus,6127,28510
49,1971,Asparagus,6769,31824
50,1972,Asparagus,5917,28636
51,1973,Asparagus,5955,30403
52,1974,Asparagus,5843,25499
53,1975,Asparagus,5497,26214
54,1976,Asparagus,5604,26344
55,1977,Asparagus,5835,25719
56,1978,Asparagus,6203,25870
57,1979,Asparagus,6218,23885
58,1980,Asparagus,6381,22023
59,1981,Asparagus,6340,24513
60,1982,Asparagus,6217,24150
61,1983,Asparagus,6230,23482
62,1984,Asparagus,6427,23341
63,1985,Asparagus,6584,26121
64,1986,Asparagus,6705,27682
65,1987,Asparagus,6614,22220
66,1988,Asparagus,7985,24695
67,1989,Asparagus,8271,25513
68,1990,Asparagus,7971,27611
69,1991,Asparagus,6253,24751
70,1992,Asparagus,7524,37735
71,1993,Asparagus,8063,36952
72,1994,Asparagus,8250,33038
73,1995,Asparagus,9137,34825
74,1996,Asparagus,10503,34953
75,1997,Asparagus,10901,37438
76,1998,Asparagus,11261,40416
77,1999,Asparagus,11429,39538
78,2000,Asparagus,11597,43800
79,2001,Asparagus,12904,40488
80,2002,Asparagus,14222,40217
81,2003,Asparagus,15106,43252
82,2004,Asparagus,16744,43309
83,2005,Asparagus,18117,45680
84,2006,Asparagus,18408,44537
85,2007,Asparagus,18610,50664
86,2008,Asparagus,18436,50257
87,2009,Asparagus,18190,53982
88,2010,Asparagus,18794,49167
89,2011,Asparagus,18611,55589
90,2012,Asparagus,19329,52975
91,2013,Asparagus,19634,52515
92,2014,Asparagus,20122,56699
93,2015,Asparagus,20594,55168
94,2016,Asparagus,22274,53881
95,2017,Asparagus,23190,56439
96,2018,Asparagus,23410,56822
97,2019,Asparagus,22980,56815
98,2020,Asparagus,22410,52459
99,2021,Asparagus,22280,53532
100,1961,Barley,1552018,23640
101,1962,Barley,1512480,32451
102,1963,Barley,1568356,30346
103,1964,Barley,1616508,33476
104,1965,Barley,1690106,29678
105,1966,Barley,1809287,29816
106,1967,Barley,1860835,35797
107,1968,Barley,1925629,36844
108,1969,Barley,2028309,35487
109,1970,Barley,2114790,31587
110,1971,Barley,2161129,37294
111,1972,Barley,2166948,39638
112,1973,Barley,2362978,40077
113,1974,Barley,2444346,42834
114,1975,Barley,2685089,39669
115,1976,Barley,2695209,36893
116,1977,Barley,2808277,40110
117,1978,Barley,2988958,42632
118,1979,Barley,2933104,39231
119,1980,Barley,2970671,43104
120,1981,Barley,3008345,40429
121,1982,Barley,3002448,45012
122,1983,Barley,2924272,43861
123,1984,Barley,2925856,49292
124,1985,Barley,2831186,49648
125,1986,Barley,2842759,48089
126,1987,Barley,2741115,46585
127,1988,Barley,2710209,49390
128,1989,Barley,2640401,54534
129,1990,Barley,2612519,53558
130,1991,Barley,2535384,57166
131,1992,Barley,2407963,50650
132,1993,Barley,2200764,50008
133,1994,Barley,2069538,52681
134,1995,Barley,2108700,56391
135,1996,Barley,2208408,54673
136,1997,Barley,2273950,58923
137,1998,Barley,2180849,57373
138,1999,Barley,2210353,60176
139,2000,Barley,2067590,58550
140,2001,Barley,2111822,63900
141,2002,Barley,1970335,55462
142,2003,Barley,2074622,51072
143,2004,Barley,1979472,65638
144,2005,Barley,1946800,59656
145,2006,Barley,2025300,59086
146,2007,Barley,1916871,54173
147,2008,Barley,1961682,61004
148,2009,Barley,1877894,65436
149,2010,Barley,1641322,62918
150,2011,Barley,1598100,54651
151,2012,Barley,1677800,61934
152,2013,Barley,1570400,65866
153,2014,Barley,1573700,73475
154,2015,Barley,1621800,71710
155,2016,Barley,1605000,66857
156,2017,Barley,1566100,69302
157,2018,Barley,1662000,57663
158,2019,Barley,1708800,67834
159,2020,Barley,1667300,64591
160,2021,Barley,1539500,67627
161,1961,"Beans, dry",6737,18841
162,1962,"Beans, dry",7790,20266
163,1963,"Beans, dry",8001,21170
164,1964,"Beans, dry",5682,18701
165,1965,"Beans, dry",3459,25025
166,1966,"Beans, dry",4458,18991
167,2006,Blueberries,1410,43177
168,2007,Blueberries,1406,41380
169,2008,Blueberries,1406,29275
170,2009,Blueberries,1426,69705
171,2010,Blueberries,1429,58118
172,2011,Blueberries,1434,46081
173,2012,Blueberries,1835,48191
174,2013,Blueberries,2031,50601
175,2014,Blueberries,2083,57979
176,2015,Blueberries,2479,48185
177,2016,Blueberries,2714,39462
178,2017,Blueberries,2844,48541
179,2018,Blueberries,3040,41974
180,2019,Blueberries,3160,46994
181,2020,Blueberries,3290,34347
182,2021,Blueberries,3360,46548
183,1961,"Broad beans and horse beans, dry",34951,23147
184,1962,"Broad beans and horse beans, dry",41479,25120
185,1963,"Broad beans and horse beans, dry",42439,23410
186,1990,"Broad beans and horse beans, dry",41000,32366
