Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","1990","1990","1000 ha","11300","A","Official figure"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","1991","1991","1000 ha","11305.4","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","1992","1992","1000 ha","11310.8","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","1993","1993","1000 ha","11316.2","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","1994","1994","1000 ha","11321.6","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","1995","1995","1000 ha","11327","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","1996","1996","1000 ha","11332.4","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","1997","1997","1000 ha","11337.8","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","1998","1998","1000 ha","11343.2","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","1999","1999","1000 ha","11348.6","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","2000","2000","1000 ha","11354","A","Official figure"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","2001","2001","1000 ha","11359.5","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","2002","2002","1000 ha","11365","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","2003","2003","1000 ha","11370.5","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","2004","2004","1000 ha","11376","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","2005","2005","1000 ha","11381.5","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","2006","2006","1000 ha","11387","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","2007","2007","1000 ha","11392.5","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","2008","2008","1000 ha","11398","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","2009","2009","1000 ha","11403.5","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","2010","2010","1000 ha","11409","A","Official figure"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","2011","2011","1000 ha","11411","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","2012","2012","1000 ha","11413","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","2013","2013","1000 ha","11415","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","2014","2014","1000 ha","11417","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","2015","2015","1000 ha","11419","A","Official figure"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","2016","2016","1000 ha","11419","A","Official figure"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","2017","2017","1000 ha","11419","A","Official figure"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","2018","2018","1000 ha","11419","A","Official figure"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","2019","2019","1000 ha","11419","A","Official figure"
"RL","Land Use","276","Germany","5110","Area","6646","Forest land","2020","2020","1000 ha","11419","A","Official figure"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","1990","1990","1000 ha","5650","A","Official figure"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","1991","1991","1000 ha","5652.7","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","1992","1992","1000 ha","5655.4","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","1993","1993","1000 ha","5658.1","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","1994","1994","1000 ha","5660.8","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","1995","1995","1000 ha","5663.5","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","1996","1996","1000 ha","5666.2","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","1997","1997","1000 ha","5668.9","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","1998","1998","1000 ha","5671.6","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","1999","1999","1000 ha","5674.3","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","2000","2000","1000 ha","5677","A","Official figure"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","2001","2001","1000 ha","5679.75","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","2002","2002","1000 ha","5682.5","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","2003","2003","1000 ha","5685.25","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","2004","2004","1000 ha","5688","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","2005","2005","1000 ha","5690.75","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","2006","2006","1000 ha","5693.5","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","2007","2007","1000 ha","5696.25","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","2008","2008","1000 ha","5699","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","2009","2009","1000 ha","5701.75","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","2010","2010","1000 ha","5704.5","A","Official figure"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","2011","2011","1000 ha","5705.5","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","2012","2012","1000 ha","5706.5","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","2013","2013","1000 ha","5707.5","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","2014","2014","1000 ha","5708.5","I","Imputed value"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","2015","2015","1000 ha","5709.5","A","Official figure"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","2016","2016","1000 ha","5709.5","A","Official figure"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","2017","2017","1000 ha","5709.5","A","Official figure"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","2018","2018","1000 ha","5709.5","A","Official figure"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","2019","2019","1000 ha","5709.5","A","Official figure"
"RL","Land Use","276","Germany","5110","Area","6716","Planted Forest","2020","2020","1000 ha","5709.5","A","Official figure"
