Authors,Title,DOI,Link,Abstract,Author Keywords,Index Keywords
"Acharya U., Daigh A.L.M., Oduor P.G.","Machine learning for predicting field soil moisture using soil, crop, and nearby weather station data in the red river valley of the north","10.3390/soilsystems5040057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116136964&doi=10.3390%2fsoilsystems5040057&partnerID=40&md5=af66e4c19dc2baf3e3df711693790e70","Precise soil moisture prediction is important for water management and logistics of on-farm operations. However, soil moisture is affected by various soil, crop, and meteorological factors, and it is difficult to establish ideal mathematical models for moisture prediction. We investigated various machine learning techniques for predicting soil moisture in the Red River Valley of the North (RRVN). Specifically, the evaluated machine learning techniques included classification and regression trees (CART), random forest regression (RFR), boosted regression trees (BRT), multiple linear regression (MLR), support vector regression (SVR), and artificial neural networks (ANN). The objective of this study was to determine the effectiveness of these machine learning techniques and evaluate the importance of predictor variables. The RFR and BRT algorithms performed the best, with mean absolute errors (MAE) of &lt;0.040 m3 m−3 and root mean square errors (RMSE) of 0.045 and 0.048 m3 m−3, respectively. Similarly, RFR, SVR, and BRT showed high correlations (r2 of 0.72, 0.65 and 0.67 respectively) between predicted and measured soil moisture. The CART, RFR, and BRT models showed that soil moisture at nearby weather stations had the highest relative influence on moisture prediction, followed by 4-day cumulative rainfall and PET, subsequently followed by bulk density and Ksat. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Accumulated local effects; Random forest regression; Variable importance",
"Adak A., Pradhan B., Shukla N., Alamri A.","Unboxing Deep Learning Model of Food Delivery Service Reviews Using Explainable Artificial Intelligence (XAI) Technique","10.3390/foods11142019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136199561&doi=10.3390%2ffoods11142019&partnerID=40&md5=fc89e7dc947a679260b4095e207012e4","The demand for food delivery services (FDSs) during the COVID-19 crisis has been fuelled by consumers who prefer to order meals online and have it delivered to their door than to wait at a restaurant. Since many restaurants moved online and joined FDSs such as Uber Eats, Menulog, and Deliveroo, customer reviews on internet platforms have become a valuable source of information about a company’s performance. FDS organisations strive to collect customer complaints and effectively utilise the information to identify improvements needed to enhance customer satisfaction. However, only a few customer opinions are addressed because of the large amount of customer feedback data and lack of customer service consultants. Organisations can use artificial intelligence (AI) instead of relying on customer service experts and find solutions on their own to save money as opposed to reading each review. Based on the literature, deep learning (DL) methods have shown remarkable results in obtaining better accuracy when working with large datasets in other domains, but lack explainability in their model. Rapid research on explainable AI (XAI) to explain predictions made by opaque models looks promising but remains to be explored in the FDS domain. This study conducted a sentiment analysis by comparing simple and hybrid DL techniques (LSTM, Bi-LSTM, Bi-GRU-LSTM-CNN) in the FDS domain and explained the predictions using SHapley Additive exPlanations (SHAP) and Local Interpretable Model-Agnostic Explanations (LIME). The DL models were trained and tested on the customer review dataset extracted from the ProductReview website. Results showed that the LSTM, Bi-LSTM and Bi-GRU-LSTM-CNN models achieved an accuracy of 96.07%, 95.85% and 96.33%, respectively. The model should exhibit fewer false negatives because FDS organisations aim to identify and address each and every customer complaint. The LSTM model was chosen over the other two DL models, Bi-LSTM and Bi-GRU-LSTM-CNN, due to its lower rate of false negatives. XAI techniques, such as SHAP and LIME, revealed the feature contribution of the words used towards positive and negative sentiments, which were used to validate the model. © 2022 by the authors.","deep learning; explainable AI; food delivery service; LIME; sentiment analysis; SHapley",
"Adak A., Pradhan B., Shukla N.","Sentiment Analysis of Customer Reviews of Food Delivery Services Using Deep Learning and Explainable Artificial Intelligence: Systematic Review","10.3390/foods11101500","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130924665&doi=10.3390%2ffoods11101500&partnerID=40&md5=dc64b385a1517f8bb85ab6bca9beb9ca","During the COVID-19 crisis, customers’ preference in having food delivered to their doorstep instead of waiting in a restaurant has propelled the growth of food delivery services (FDSs). With all restaurants going online and bringing FDSs onboard, such as UberEATS, Menulog or Deliveroo, customer reviews on online platforms have become an important source of information about the company’s performance. FDS organisations aim to gather complaints from customer feedback and effectively use the data to determine the areas for improvement to enhance customer satisfaction. This work aimed to review machine learning (ML) and deep learning (DL) models and explainable artificial intelligence (XAI) methods to predict customer sentiments in the FDS domain. A literature review revealed the wide usage of lexicon-based and ML techniques for predicting sentiments through customer reviews in FDS. However, limited studies applying DL techniques were found due to the lack of the model interpretability and explainability of the decisions made. The key findings of this systematic review are as follows: 77% of the models are non-interpretable in nature, and organisations can argue for the explainability and trust in the system. DL models in other domains perform well in terms of accuracy but lack explainability, which can be achieved with XAI implementation. Future research should focus on implementing DL models for sentiment analysis in the FDS domain and incorporating XAI techniques to bring out the explainability of the models. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","deep learning; explainable artificial intelli-gence; food delivery services; lime; sentiment analysis; shapley",
"Adjuik T.A., Davis S.C.","Machine Learning Approach to Simulate Soil CO2 Fluxes under Cropping Systems","10.3390/agronomy12010197","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123167797&doi=10.3390%2fagronomy12010197&partnerID=40&md5=8ef9c9c1a3b22f7687240733acb6b957","With the growing number of datasets to describe greenhouse gas (GHG) emissions, there is an opportunity to develop novel predictive models that require neither the expense nor time required to make direct field measurements. This study evaluates the potential for machine learning (ML) approaches to predict soil GHG emissions without the biogeochemical expertise that is required to use many current models for simulating soil GHGs. There are ample data from field measurements now publicly available to test new modeling approaches. The objective of this paper was to develop and evaluate machine learning (ML) models using field data (soil temperature, soil moisture, soil classification, crop type, fertilization type, and air temperature) available in the Greenhouse gas Reduction through Agricultural Carbon Enhancement network (GRACEnet) database to simulate soil CO2 fluxes with different fertilization methods. Four machine learning algorithms—K nearest neighbor regression (KNN), support vector regression (SVR), random forest (RF) regression, and gradient boosted (GB) regression—were used to develop the models. The GB regression model out-performed all the other models on the training dataset with R2 = 0.88, MAE = 2177.89 g C ha−1 day−1, and RMSE 4405.43 g C ha−1 day−1 . However, the RF and GB regression models both performed optimally on the unseen test dataset with R2 = 0.82. Machine learning tools were useful for developing predictors based on soil classification, soil temperature and air temperature when a large database like GRACEnet is available, but these were not highly predictive variables in correlation analysis. This study demonstrates the suitability of using tree-based ML algorithms for predictive modeling of CO2 fluxes, but no biogeochemical processes can be described with such models. © 2022 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https:// creativecommons.org/licenses/by/ 4.0/).","GRACEnet; Gradient boosted regression; Greenhouse gases fluxes; KNN regression; Prediction; Random forest regression; Support vector regression",
"Afshan N., Rout R.K.","Machine Learning Techniques for IoT Data Analytics","10.1002/9781119740780.ch3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133080677&doi=10.1002%2f9781119740780.ch3&partnerID=40&md5=054e3a030dd63c4c1803c578a49725d3","Tremendous advancements and innovations in hardware and software together with developments in different communication technologies and computational advancements have encouraged the advent of an ecosystem of highly interconnected and smart devices known as the Internet of Things (IoT). This IoT is getting outstandingly universal and ubiquitous in today's society with a transformative and constructive impact on different application domains like smart and sustainable living, smart healthcare, smart agriculture, smart cities, manufacturing, and more. Consequently, there has been escalating quantitative expansion in the devices connected to IoT leading to the generation of massive volumes of data, depicting a perfect overlap of big data generation with that of IoT. These voluminous data are totally useless without any proper analytic procedure and is much more than humans will be able to process and analyze. In addition to being huge in terms of size and volume, the big data generated by IoT are of highly veracious and variable nature with a variety of data forms and quality. Further, it is highly distinguished by its velocity in terms of creation, time, processing, location dependency, and accessibility. As a result, smart analysis of such data for obtaining valuable insights is a challenging task. Intelligent data analytics is an important prerequisite to maximize the business value of IoT and realize its hyped market potential. Machine learning has the power to handle different challenges associated with IoT data and can be deployed effectively as they require minimal human intervention. In this chapter, different machine learning algorithms will be discussed along with their potential and challenges for IoT data analytics. The central goal of this chapter is to present a taxonomy of various machine learning approaches and demonstrate the implementation of different techniques so as to do higher level analysis using IoT data. © 2021 John Wiley & Sons, Inc. All rights reserved.","data analytics; Internet of Things; machine learning; smart data",
"Aguilar-Palacios C., Munoz-Romero S., Rojo-Alvarez J.L.","Causal Quantification of Cannibalization during Promotional Sales in Grocery Retail","10.1109/ACCESS.2021.3062222","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101755246&doi=10.1109%2fACCESS.2021.3062222&partnerID=40&md5=2720a7a194c134d291dba26477f2faff","In food and grocery retail, sales cannibalisation during promotions occurs when a promoted product has a knock-on effect on the sales of a non-promoted one. The quantification of its effect is important for retailers, as cannibalisation can lead to wasted food and lost profits. The performance of promotions is ultimately dependent on their features but also on the characteristics of the stores, i.e. type of store or its location. Generally speaking, there is no homogeneous response to a promotion, and by extension to sales cannibalisation. Accordingly, in this paper we describe a framework to analyse the effects of cannibalisation due to individual promotions based on the relationship amongst their sales. The novelty of our work resides in understanding cannibalisation as a causal effect where the increase in sales of the promoted product is partly due to the decrease in sales of the non-promoted one. As such, we propose to use causal inference to measure the impact of cannibalisation due to promotions. Our method reviews each product that has been on promotion, searching for potential cannibals, given by products whose promotion have resulted in large sales uplifts, and for the fall-outs, given by those products experiencing a reduction in sales due to the cannibals. Then each cannibal-victim pair is analysed with Causal Impact, a time-series method which allows one to infer the causal effect of an intervention. We demonstrate the practical application of detecting cannibalisation on vast datasets of promotions within several stores and their many departments. To provide with an overview of the cannibalisation for entire departments and not simply for individual products, we build a directed graph. This is both unique and of utmost value to store managers and marketing teams. Additionally, we discuss in the Appendix the application of explainable forecasting to cannibalisation on a surrogate model. © 2013 IEEE.","Causal inference; interpretable machine learning (iML); retail promotions; sales cannibalization; supply chain","Chemical contamination; Directed graphs; Human resource management; Causal inferences; Knock-on effect; Large sales; Marketing team; Surrogate model; Time series method; Sales"
"Ahmed M.S., Tazwar M.T., Khan H., Roy S., Iqbal J., Rabiul Alam M.G., Hassan M.R., Hassan M.M.","Yield Response of Different Rice Ecotypes to Meteorological, Agro-Chemical, and Soil Physiographic Factors for Interpretable Precision Agriculture Using Extreme Gradient Boosting and Support Vector Regression","10.1155/2022/5305353","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139490887&doi=10.1155%2f2022%2f5305353&partnerID=40&md5=91ebeaa7d8d3c6f433b56bbc7949f169","The food security of more than half of the world's population depends on rice production which is one of the key objectives of precision agriculture. The traditional rice almanac used astronomical and climate factors to estimate yield response. However, this research integrated meteorological, agro-chemical, and soil physiographic factors for yield response prediction. Besides, the impact of those factors on the production of three major rice ecotypes has also been studied in this research. Moreover, this study found a different set of those factors with respect to the yield response of different rice ecotypes. Machine learning algorithms named Extreme Gradient Boosting (XGBoost) and Support Vector Regression (SVR) have been used for predicting the yield response. The SVR shows better results than XGBoost for predicting the yield of the Aus rice ecotype, whereas XGBoost performs better for forecasting the yield of the Aman and Boro rice ecotypes. The result shows that the root mean squared error (RMSE) of three different ecotypes are in between 9.38% and 24.37% and that of R-squared values are between 89.74% and 99.13% on two different machine learning algorithms. Moreover, the explainability of the models is also shown in this study with the help of the explainable artificial intelligence (XAI) model called Local Interpretable Model-Agnostic Explanations (LIME). © 2022 Md. Sabbir Ahmed et al.",,"Adaptive boosting; Food supply; Forecasting; Lime; Machine learning; Mean square error; Agro-chemicals; Food security; Gradient boosting; Key objective; Machine learning algorithms; Precision Agriculture; Rice production; Support vector regressions; World population; Yield response; Precision agriculture"
"Albattah W., Nawaz M., Javed A., Masood M., Albahli S.","A novel deep learning method for detection and classification of plant diseases","10.1007/s40747-021-00536-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134073451&doi=10.1007%2fs40747-021-00536-1&partnerID=40&md5=b3593dcd35434bca100afdedb65dcb76","The agricultural production rate plays a pivotal role in the economic development of a country. However, plant diseases are the most significant impediment to the production and quality of food. The identification of plant diseases at an early stage is crucial for global health and wellbeing. The traditional diagnosis process involves visual assessment of an individual plant by a pathologist through on-site visits. However, manual examination for crop diseases is restricted because of less accuracy and the small accessibility of human resources. To tackle such issues, there is a demand to design automated approaches capable of efficiently detecting and categorizing numerous plant diseases. Precise identification and classification of plant diseases is a tedious job due because of the occurrence of low-intensity information in the image background and foreground, the huge color resemblance in the healthy and diseased plant areas, the occurrence of noise in the samples, and changes in the position, chrominance, structure, and size of plant leaves. To tackle the above-mentioned problems, we have introduced a robust plant disease classification system by introducing a Custom CenterNet framework with DenseNet-77 as a base network. The presented method follows three steps. In the first step, annotations are developed to get the region of interest. Secondly, an improved CenterNet is introduced in which DenseNet-77 is proposed for deep keypoints extraction. Finally, the one-stage detector CenterNet is used to detect and categorize several plant diseases. To conduct the performance analysis, we have used the PlantVillage Kaggle database, which is the standard dataset for plant diseases and challenges in terms of intensity variations, color changes, and differences found in the shapes and sizes of leaves. Both the qualitative and quantitative analysis confirms that the presented method is more proficient and reliable to identify and classify plant diseases than other latest approaches. © 2021, The Author(s).","Agriculture; CenterNet; Deep learning; DenseNet; Plant disease",
"Albinet F., Peng Y., Eguchi T., Smolders E., Dercon G.","Prediction of exchangeable potassium in soil through mid-infrared spectroscopy and deep learning: From prediction to explainability","10.1016/j.aiia.2022.10.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140931886&doi=10.1016%2fj.aiia.2022.10.001&partnerID=40&md5=38e60d488c83a0a0f2d555dade330824","The ability to characterize rapidly and repeatedly exchangeable potassium (Kex) content in the soil is essential for optimizing remediation of radiocaesium contamination in agriculture. In this paper, we show how this can be now achieved using a Convolutional Neural Network (CNN) model trained on a large Mid-Infrared (MIR) soil spectral library (40,000 samples with Kex determined with 1 M NH4OAc, pH 7), compiled by the National Soil Survey Center of the United States Department of Agriculture. Using Partial Least Squares Regression as a baseline, we found that our implemented CNN leads to a significantly higher prediction performance of Kex when a large amount of data is available (10000), increasing the coefficient of determination from 0.64 to 0.79, and reducing the Mean Absolute Percentage Error from 135% to 31%. Furthermore, in order to provide end-users with required interpretive keys, we implemented the GradientShap algorithm to identify the spectral regions considered important by the model for predicting Kex. Used in the context of the implemented CNN on various Soil Taxonomy Orders, it allowed (i) to relate the important spectral features to domain knowledge and (ii) to demonstrate that including all Soil Taxonomy Orders in CNN-based modeling is beneficial as spectral features learned can be reused across different, sometimes underrepresented orders. © 2022 The Authors","Agriculture; Convolutional neural network; High-throughput soil characterization; Interpretability; Machine learning; Nuclear emergency response; Remediation",
"Alghamdi M., Angelov P., Gimenez R., Rufino M., Soares E.","Self-Organising and Self-Learning Model for Soybean Yield Prediction","10.1109/SNAMS.2019.8931888","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077810022&doi=10.1109%2fSNAMS.2019.8931888&partnerID=40&md5=914cbc55d97138721e462c899a919815","Machine learning has arisen with advanced data analytics. Many factors influence crop yield, such as soil, amount of water, climate, and genotype. Determining factors that significantly influence yield prediction and identify the most appropriate predictive methods are important in yield management. It is critical to consider and study the combination of different crop factors and their impact on the yield. The objectives of this paper are: (1) to use advanced data analytic techniques to precisely predict the soybean crop yields, (2) to identify the most influential features that impact soybean predictions, (3) to illustrate the ability of Fuzzy Rule-Based (FRB) sub-systems, which are self-organizing, self-learning, and data-driven, by using the recently developed Autonomous Learning Multiple-Model First-order (ALMMo-1) system, and (4) to compare the performance with other well-known methods. The ALMMo-1 system is a transparent model, which stakeholders can easily read and interpret. The model is a data-driven and composed of prototypes selected from the actual data. Many factors affect the yield, and data clouds can be formed in the feature/data space based on the data density. The data cloud is the key to the IF part of FRB sub-systems, while the THEN part (the consequences of the IF condition) illustrates the yield prediction in the form of a linear regression model, which consists of the yield features or factors. In addition, the model can determine the most influential features of the yield prediction online. The model shows an excellent prediction accuracy with a Root Mean Square Error (RMSE) of 0.0883, and Non-Dimensional Error Index (NDEI) of 0.0611, which is competitive with state-of-the-art methods. © 2019 IEEE.","Autonomous Learning; Fuzzy Rule-Based; Linear regression; Multi-Modal; Soybean yield prediction","Advanced Analytics; Crops; Data Analytics; Forecasting; Fuzzy inference; Fuzzy rules; Linear regression; Mean square error; Regression analysis; Autonomous learning; Fuzzy rule based; Linear regression models; Multi-modal; Root mean square errors; Self-learning models; State-of-the-art methods; Yield prediction; Learning systems"
