Authors,Title,DOI,Link,Abstract,Author Keywords,Index Keywords
"Abbas A., Baek S., Silvera N., Soulileuth B., Pachepsky Y., Ribolzi O., Boithias L., Cho K.H.","In-stream Escherichia coli modeling using high-temporal-resolution data with deep learning and process-based models","10.5194/hess-25-6185-2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121001663&doi=10.5194%2fhess-25-6185-2021&partnerID=40&md5=decf59f31ce247bf01a7d22de439d032","Contamination of surface waters with microbiological pollutants is a major concern to public health. Although long-term and high-frequency Escherichia coli (E. coli) monitoring can help prevent diseases from fecal pathogenic microorganisms, such monitoring is time-consuming and expensive. Process-driven models are an alternative means for estimating concentrations of fecal pathogens. However, process-based modeling still has limitations in improving the model accuracy because of the complexity of relationships among hydrological and environmental variables. With the rise of data availability and computation power, the use of data-driven models is increasing. In this study, we simulated fate and transport of E. coli in a 0.6gkm2 tropical headwater catchment located in the Lao People's Democratic Republic (Lao PDR) using a deep-learning model and a process-based model. The deep learning model was built using the long short-term memory (LSTM) methodology, whereas the process-based model was constructed using the Hydrological Simulation Program-FORTRAN (HSPF). First, we calibrated both models for surface as well as for subsurface flow. Then, we simulated the E. coli transport with 6gmin time steps with both the HSPF and LSTM models. The LSTM provided accurate results for surface and subsurface flow with 0.51 and 0.64 of the Nash-Sutcliffe efficiency (NSE) values, respectively. In contrast, the NSE values yielded by the HSPF were -0.7 and 0.59 for surface and subsurface flow. The simulated E. coli concentrations from LSTM provided the NSE of 0.35, whereas the HSPF gave an unacceptable performance with an NSE value of -3.01 due to the limitations of HSPF in capturing the dynamics of E. coli with land-use change. The simulated E. coli concentration showed the rise and drop patterns corresponding to annual changes in land use. This study showcases the application of deep-learning-based models as an efficient alternative to process-based models for E. coli fate and transport simulation at the catchment scale. © 2021 The Author(s).",,"Catchments; Land use; Long short-term memory; Runoff; Water pollution; Escherichia coli model; Fate and transport; High temporal resolution; Hydrological simulations; Learning Based Models; Learning models; Process-based modeling; Simulation projects; Surface and subsurface flow; Term Frequency; Escherichia coli; accuracy assessment; catchment; coliform bacterium; concentration (composition); hydrological modeling; machine learning; numerical model; stream; subsurface flow; temporal analysis; Escherichia coli"
"Abbas A., Baek S., Kim M., Ligaray M., Ribolzi O., Silvera N., Min J.-H., Boithias L., Cho K.H.","Surface and sub-surface flow estimation at high temporal resolution using deep neural networks","10.1016/j.jhydrol.2020.125370","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089223073&doi=10.1016%2fj.jhydrol.2020.125370&partnerID=40&md5=a37926348997e5fd2ad6f970efd1ee32","Recent intensification in climate change have resulted in the rise of hydrological extreme events. This demands modeling of hydrological processes at high temporal resolution to better understand flow patterns in catchments. To model surface and sub-surface flows in a catchment we utilized a physically based model called Hydrological Simulated Program-FORTRAN and two deep learning-based models. One deep learning model consisted of only one long short-term memory (simple LSTM), whereas the other model simulated processes in each hydrological response unit (HRU) by defining one separate LSTM for each HRU (HRU-based LSTM). The models use environmental time-series data and two-dimensional spatial data to predict surface and sub-surface flows at 6-minute time step simultaneously. We tested our models in a tropical humid headwater catchment in northern Lao PDR and compared their performances. Our results showed that the simple LSTM model outperformed the other models on surface runoff prediction with the lowest MSE (7.4e−5 m3 s−1), whereas HRU-based LSTM model better predicted patterns and slopes in sub-surface flow in comparison with the other models by having the smallest MSE value (3.2e−4 m3 s−1). This study demonstrated the performance of a deep learning model when simulating hydrological cycle with high temporal resolution. © 2020 Elsevier B.V.","Deep learning model; Hydrological Simulated Program-FORTRAN; Long short-term memory (LSTM); Sub-surface flow; Surface runoff","Catchments; Climate change; Deep learning; Deep neural networks; Learning systems; Runoff; Headwater catchment; High temporal resolution; Hydrological cycles; Hydrological extremes; Hydrological process; Hydrological response unit; Learning Based Models; Physically based modeling; Long short-term memory; artificial neural network; catchment; climate change; estimation method; extreme event; hydrological cycle; hydrological modeling; hydrological response; prediction; subsurface flow; temporal analysis"
"Abdollahi A., Pradhan B.","Urban vegetation mapping from aerial imagery using explainable AI (XAI)","10.3390/s21144738","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109297211&doi=10.3390%2fs21144738&partnerID=40&md5=433abc268b8efa2ed7d71f7c8e707bee","Urban vegetation mapping is critical in many applications, i.e., preserving biodiversity, maintaining ecological balance, and minimizing the urban heat island effect. It is still challenging to extract accurate vegetation covers from aerial imagery using traditional classification approaches, because urban vegetation categories have complex spatial structures and similar spectral properties. Deep neural networks (DNNs) have shown a significant improvement in remote sensing image classification outcomes during the last few years. These methods are promising in this domain, yet unreliable for various reasons, such as the use of irrelevant descriptor features in the building of the models and lack of quality in the labeled image. Explainable AI (XAI) can help us gain insight into these limits and, as a result, adjust the training dataset and model as needed. Thus, in this work, we explain how an explanation model called Shapley additive explanations (SHAP) can be utilized for interpreting the output of the DNN model that is designed for classifying vegetation covers. We want to not only produce high-quality vegetation maps, but also rank the input parameters and select appropriate features for classification. Therefore, we test our method on vegetation mapping from aerial imagery based on spectral and textural features. Texture features can help overcome the limitations of poor spectral resolution in aerial imagery for vegetation mapping. The model was capable of obtaining an overall accuracy (OA) of 94.44% for vegetation cover mapping. The conclusions derived from SHAP plots demonstrate the high contribution of features, such as Hue, Brightness, GLCM_Dissimilarity, GLCM_Homogeneity, and GLCM_Mean to the output of the proposed model for vegetation mapping. Therefore, the study indicates that existing vegetation mapping strategies based only on spectral characteristics are insufficient to appropriately classify vegetation covers. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Deep neural network; Remote sensing; SHAP; Vegetation mapping; XAI","Aerial photography; Antennas; Biodiversity; Deep neural networks; Image classification; Image enhancement; Photomapping; Remote sensing; Textures; Classification approach; Ecological balance; Overall accuracies; Remote sensing image classification; Spectral characteristics; Spectral properties; Urban Heat Island Effects; Vegetation mapping; Vegetation; city; heat; Cities; Hot Temperature; Neural Networks, Computer"
"Abdullah K.H., Sofyan D.","Machine Learning in Safety and Health Research: A Scientometric Analysis","10.22034/ijism.2022.1977763.0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146668545&doi=10.22034%2fijism.2022.1977763.0&partnerID=40&md5=74a1e39bc533a47d353142abd01b92d7","Safety and health are intricately interwoven and have become indispensable to the thriving business world and anthropology. It is concerned with ensuring employees’ physical, emotional, and mental well-being. Based on the Scopus and Web of Science databases, the current study intends to analyse the global research output on machine learning in safety and health. This study utilized ScientoPy and VOSviewer to delve into the annual growth, patterns of research communication on source titles, international collaboration among countries, and authors’ keyword analysis. This study found that the Web of Science database tracks the evolution of publications throughout time. PLoS One has surpassed all other source titles in terms of publishing activity. Also, this study indicated that US researchers are constantly working on machine learning in safety and health research and have developed significant collaborations with China and Australia. Between 2020 and 2021, the University of Toronto published 86% of all papers, outpacing other institutions. The keywords “machine learning”, “artificial intelligence”, “electronic health records”, “deep learning”, and “mental health” were the most popular and trending keywords in 2020 and 2021, and “artificial intelligence” appeared in most publications among others. Future researchers should conduct scoping or systematic literature reviews to elucidate the relationships between these terms. This study may entice the curiosity of practitioners and researchers to advance new knowledge in this field by being devoted to cutting-edge research in the contemporary philosophy of science, cognitive, and cultural anthropology on machine learning in safety and health research. In conclusion, this scientometric analysis demonstrates that machine learning in safety and health is a study domain that requires further refinement in future research, as this technology has the potential to significantly improve workplace safety and health through targeted applications with clear benefits © 2023,International Journal of Information Science and Management.All Rights Reserved.","Health; Machine learning; Publication trajectories.; Safety; Scientometric; Scopus; Web of science",
"Abdullahi M., Baashar Y., Alhussian H., Alwadain A., Aziz N., Capretz L.F., Abdulkadir S.J.","Detecting Cybersecurity Attacks in Internet of Things Using Artificial Intelligence Methods: A Systematic Literature Review","10.3390/electronics11020198","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122387869&doi=10.3390%2felectronics11020198&partnerID=40&md5=935d3274b03cc9808c51084d26143c60","In recent years, technology has advanced to the fourth industrial revolution (Industry 4.0), where the Internet of things (IoTs), fog computing, computer security, and cyberattacks have evolved exponentially on a large scale. The rapid development of IoT devices and networks in various forms generate enormous amounts of data which in turn demand careful authentication and security. Artificial intelligence (AI) is considered one of the most promising methods for addressing cybersecurity threats and providing security. In this study, we present a systematic literature review (SLR) that categorize, map and survey the existing literature on AI methods used to detect cybersecurity attacks in the IoT environment. The scope of this SLR includes an in-depth investigation on most AI trending techniques in cybersecurity and state-of-art solutions. A systematic search was performed on various electronic databases (SCOPUS, Science Direct, IEEE Xplore, Web of Science, ACM, and MDPI). Out of the identified records, 80 studies published between 2016 and 2021 were selected, surveyed and carefully assessed. This review has explored deep learning (DL) and machine learning (ML) techniques used in IoT security, and their effectiveness in detecting attacks. However, several studies have proposed smart intrusion detection systems (IDS) with intelligent architectural frameworks using AI to overcome the existing security and privacy challenges. It is found that support vector machines (SVM) and random forest (RF) are among the most used methods, due to high accuracy detection another reason may be efficient memory. In addition, other methods also provide better performance such as extreme gradient boosting (XGBoost), neural networks (NN) and recurrent neural networks (RNN). This analysis also provides an insight into the AI roadmap to detect threats based on attack categories. Finally, we present recommendations for potential future investigations. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","Artificial intelligence; Cyberattacks; Cybersecurity; Deep learning; Internet of things; Intrusion detection systems; Machine learning; Systematic literature review",
"Abubakar I.S., Akadiri S.S.","Revisiting oil rents-output growth nexus in Nigeria: evidence from dynamic autoregressive distributive lag model and kernel-based regularized least squares approach","10.1007/s11356-022-19034-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124581993&doi=10.1007%2fs11356-022-19034-z&partnerID=40&md5=f00b4b7d9c415287cb51e9b28dd0a7a4","Given the dominant role of oil in terms of foreign exchange earnings in Nigeria, this study revisits the oil rents and output growth nexus, using the novel dynamic autoregressive distributive lag (DYNARDL) model and kernel-based regularized least squares (KRLS) approach over the period 1973–2020. The major finding from this study is that oil rents are less significant for output and also exhibit decreasing marginal effect on output growth in Nigeria. However, our robustness result shows that oil revenue is positive and significantly affects output growth, while corruption dampens output growth. Result from the oil revenue model with a minimum root square mean error, when compared with the oil rents model, corroborate the finding. We are thus of the opinion that oil revenue is more important for output growth in Nigeria than oil rents. Having established this fact, it is recommended that policymakers and the government should accord utmost attention to boosting oil revenue via transparency and accountability. They should also ensure a lasting solution to the nation’s high dependency on refined crude oil products importation for a sustainable economic growth and development. Also, more efforts should be directed at developing the seven identified strategic solid minerals to further enhance the revenue base of the government. © 2022, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.","C22; Corruption index; Dynamic ARDL; F43; KRLS; Nigeria; Oil rents; Oil revenue; Output growth; Q41","crude oil; economic growth; government; vector autoregression; Nigeria; carbon dioxide; petroleum; economic development; government; least square analysis; Nigeria; Carbon Dioxide; Economic Development; Government; Least-Squares Analysis; Nigeria; Petroleum"
"Adel A.","Future of industry 5.0 in society: human-centric solutions, challenges and prospective research areas","10.1186/s13677-022-00314-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137846801&doi=10.1186%2fs13677-022-00314-5&partnerID=40&md5=088ca1f5005c90af0ca33ae2a2d1b81b","Industry 4.0 has been provided for the last 10 years to benefit the industry and the shortcomings; finally, the time for industry 5.0 has arrived. Smart factories are increasing the business productivity; therefore, industry 4.0 has limitations. In this paper, there is a discussion of the industry 5.0 opportunities as well as limitations and the future research prospects. Industry 5.0 is changing paradigm and brings the resolution since it will decrease emphasis on the technology and assume that the potential for progress is based on collaboration among the humans and machines. The industrial revolution is improving customer satisfaction by utilizing personalized products. In modern business with the paid technological developments, industry 5.0 is required for gaining competitive advantages as well as economic growth for the factory. The paper is aimed to analyze the potential applications of industry 5.0. At first, there is a discussion of the definitions of industry 5.0 and advanced technologies required in this industry revolution. There is also discussion of the applications enabled in industry 5.0 like healthcare, supply chain, production in manufacturing, cloud manufacturing, etc. The technologies discussed in this paper are big data analytics, Internet of Things, collaborative robots, Blockchain, digital twins and future 6G systems. The study also included difficulties and issues examined in this paper head to comprehend the issues caused by organizations among the robots and people in the assembly line. © 2022, The Author(s).","Cognitive systems; Disaster recovery; Green manufacturing; Human machine collaboration; Industry 5.0; Smart healthcare; Supply chain","Cloud analytics; Cognitive systems; Competition; Customer satisfaction; Data Analytics; Health care; Industry 4.0; Business productivity; Disaster recovery; Green manufacturing; Human-centric; Human-machine collaboration; Industrial revolutions; Industry 5.0; Prospectives; Research areas; Smart healthcare; Supply chains"
"Adem K., Ozguven M.M., Altas Z.","A sugar beet leaf disease classification method based on image processing and deep learning","10.1007/s11042-022-13925-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138631291&doi=10.1007%2fs11042-022-13925-6&partnerID=40&md5=30f699d6fe7c85d280a5941bdba737ed","Leaf spot disease, which causes 10 − 50% loss in sugar beet yield, causes great damage on the leaves. This disease physiologically appears as individual circular spots on the sugar beet leaves and over time spreads to the entire leaf, resulting in complete death of the leaf. Therefore, in our study, Faster R-CNN, SSD, VGG16, Yolov4 deep learning models were used directly, and Yolov4 deep learning model with image processing was used in a hybrid way for automatic determination of leaf spot disease on sugar beet and classification of severity. The proposed hybrid method for the diagnosis of diseases and identifying the severity were trained and tested using 1040 images, and the classification accuracy rate of the most successful method was found to be 96.47%. The proposed hybrid approach showed that the combined use of image processing and deep learning models yield more successful results than the analysis made using only deep learning models. In this way, both the time spent for the diagnosis of leaf spot disease on sugar beet will be reduced and human error will be eliminated, and the relevant pesticides will be sprayed to the plant at the right time. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Faster RCNN; Leaf spot disease; SSD; Sugar Beet; VGG16; Yolov4","Computer aided diagnosis; Deep learning; Learning systems; Plants (botany); Sugar beets; Classification methods; Disease classification; Fast RCNN; Images processing; Leaf disease; Leaf spot disease; Learning models; SSD; VGG16; Yolov4; Image classification"
"Adjuik T.A., Davis S.C.","Machine Learning Approach to Simulate Soil CO2 Fluxes under Cropping Systems","10.3390/agronomy12010197","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123167797&doi=10.3390%2fagronomy12010197&partnerID=40&md5=8ef9c9c1a3b22f7687240733acb6b957","With the growing number of datasets to describe greenhouse gas (GHG) emissions, there is an opportunity to develop novel predictive models that require neither the expense nor time required to make direct field measurements. This study evaluates the potential for machine learning (ML) approaches to predict soil GHG emissions without the biogeochemical expertise that is required to use many current models for simulating soil GHGs. There are ample data from field measurements now publicly available to test new modeling approaches. The objective of this paper was to develop and evaluate machine learning (ML) models using field data (soil temperature, soil moisture, soil classification, crop type, fertilization type, and air temperature) available in the Greenhouse gas Reduction through Agricultural Carbon Enhancement network (GRACEnet) database to simulate soil CO2 fluxes with different fertilization methods. Four machine learning algorithms—K nearest neighbor regression (KNN), support vector regression (SVR), random forest (RF) regression, and gradient boosted (GB) regression—were used to develop the models. The GB regression model out-performed all the other models on the training dataset with R2 = 0.88, MAE = 2177.89 g C ha−1 day−1, and RMSE 4405.43 g C ha−1 day−1 . However, the RF and GB regression models both performed optimally on the unseen test dataset with R2 = 0.82. Machine learning tools were useful for developing predictors based on soil classification, soil temperature and air temperature when a large database like GRACEnet is available, but these were not highly predictive variables in correlation analysis. This study demonstrates the suitability of using tree-based ML algorithms for predictive modeling of CO2 fluxes, but no biogeochemical processes can be described with such models. © 2022 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https:// creativecommons.org/licenses/by/ 4.0/).","GRACEnet; Gradient boosted regression; Greenhouse gases fluxes; KNN regression; Prediction; Random forest regression; Support vector regression",
"Afaq Y., Manocha A.","Blockchain and Deep Learning Integration for Various Application: A Review","10.1080/08874417.2023.2173330","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147772619&doi=10.1080%2f08874417.2023.2173330&partnerID=40&md5=73b4256c0dff8cd9eb0b05fc55e159cf","Recently, deep learning and blockchain technologies have gained successful attention due to the high potential of generating accurate decisions and data security, respectively. The data provenances characteristics such as transparency, traceability, and trustworthiness are provided by the vast majority of centralized server-based deep learning approaches. This article examines the advantages of combining deep learning algorithms with blockchain technology. In addition, the most effective strategy for combining these two technologies to achieve the best result is identified through the most recent state-of-the-art literature. In this manner, the article is divided into seven thematic taxonomies based on the literature review: applications of deep learning and blockchain, deep learning techniques, protocols, domains, types of blockchain, and datasets. We have outlined the advantages and disadvantages of blockchain-based deep learning frameworks to facilitate insightful discussions. © 2023 International Association for Computer Information Systems.","blockchain; consensus protocol; Deep learning; machine learning; security","Deep learning; Learning algorithms; Learning systems; Network security; Block-chain; Centralized server; Consensus protocols; Data provenance; Deep learning; High potential; Learning approach; Machine-learning; Security; Server-based; Blockchain"
