,Title,DOI,Link,Abstract,Author Keywords,Index Keywords,FSC_stage
0,machine learning for predicting field soil moisture using soil crop and nearby weather station data in the red river valley of the north,10.3390/soilsystems5040057,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116136964&doi=10.3390%2fsoilsystems5040057&partnerID=40&md5=af66e4c19dc2baf3e3df711693790e70,precise soil moisture prediction is important for water management and logistics of on-farm operations however soil moisture is affected by various soil crop and meteorological factors and it is difficult to establish ideal mathematical models for moisture prediction we investigated various machine learning techniques for predicting soil moisture in the red river valley of the north rrvn specifically the evaluated machine learning techniques included classification and regression trees cart random forest regression rfr boosted regression trees brt multiple linear regression mlr support vector regression svr and artificial neural networks ann the objective of this study was to determine the effectiveness of these machine learning techniques and evaluate the importance of predictor variables the rfr and brt algorithms performed the best with mean absolute errors mae of &lt0040 m3 m−3 and root mean square errors rmse of 0045 and 0048 m3 m−3 respectively similarly rfr svr and brt showed high correlations r2 of 072 065 and 067 respectively between predicted and measured soil moisture the cart rfr and brt models showed that soil moisture at nearby weather stations had the highest relative influence on moisture prediction followed by 4-day cumulative rainfall and pet subsequently followed by bulk density and ksat © 2021 by the authors licensee mdpi basel switzerland,accumulated local effects random forest regression variable importance,blank,food production
3,machine learning approach to simulate soil co2 fluxes under cropping systems,10.3390/agronomy12010197,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123167797&doi=10.3390%2fagronomy12010197&partnerID=40&md5=8ef9c9c1a3b22f7687240733acb6b957,with the growing number of datasets to describe greenhouse gas ghg emissions there is an opportunity to develop novel predictive models that require neither the expense nor time required to make direct field measurements this study evaluates the potential for machine learning ml approaches to predict soil ghg emissions without the biogeochemical expertise that is required to use many current models for simulating soil ghgs there are ample data from field measurements now publicly available to test new modeling approaches the objective of this paper was to develop and evaluate machine learning ml models using field data soil temperature soil moisture soil classification crop type fertilization type and air temperature available in the greenhouse gas reduction through agricultural carbon enhancement network gracenet database to simulate soil co2 fluxes with different fertilization methods four machine learning algorithms—k nearest neighbor regression knn support vector regression svr random forest rf regression and gradient boosted gb regression—were used to develop the models the gb regression model out-performed all the other models on the training dataset with r2 = 088 mae = 217789 g c ha−1 day−1 and rmse 440543 g c ha−1 day−1  however the rf and gb regression models both performed optimally on the unseen test dataset with r2 = 082 machine learning tools were useful for developing predictors based on soil classification soil temperature and air temperature when a large database like gracenet is available but these were not highly predictive variables in correlation analysis this study demonstrates the suitability of using tree-based ml algorithms for predictive modeling of co2 fluxes but no biogeochemical processes can be described with such models © 2022 by the authors licensee mdpi basel switzerland this article is an open access article distributed under the terms and conditions of the creative commons attribution cc by license https:// creativecommonsorg/licenses/by/ 40/,gracenet gradient boosted regression greenhouse gases fluxes knn regression prediction random forest regression support vector regression,blank,food production
4,machine learning techniques for iot data analytics,10.1002/9781119740780.ch3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133080677&doi=10.1002%2f9781119740780.ch3&partnerID=40&md5=054e3a030dd63c4c1803c578a49725d3,tremendous advancements and innovations in hardware and software together with developments in different communication technologies and computational advancements have encouraged the advent of an ecosystem of highly interconnected and smart devices known as the internet of things iot this iot is getting outstandingly universal and ubiquitous in today's society with a transformative and constructive impact on different application domains like smart and sustainable living smart healthcare smart agriculture smart cities manufacturing and more consequently there has been escalating quantitative expansion in the devices connected to iot leading to the generation of massive volumes of data depicting a perfect overlap of big data generation with that of iot these voluminous data are totally useless without any proper analytic procedure and is much more than humans will be able to process and analyze in addition to being huge in terms of size and volume the big data generated by iot are of highly veracious and variable nature with a variety of data forms and quality further it is highly distinguished by its velocity in terms of creation time processing location dependency and accessibility as a result smart analysis of such data for obtaining valuable insights is a challenging task intelligent data analytics is an important prerequisite to maximize the business value of iot and realize its hyped market potential machine learning has the power to handle different challenges associated with iot data and can be deployed effectively as they require minimal human intervention in this chapter different machine learning algorithms will be discussed along with their potential and challenges for iot data analytics the central goal of this chapter is to present a taxonomy of various machine learning approaches and demonstrate the implementation of different techniques so as to do higher level analysis using iot data © 2021 john wiley & sons inc all rights reserved,data analytics internet of things machine learning smart data,blank,food production
6,yield response of different rice ecotypes to meteorological agro-chemical and soil physiographic factors for interpretable precision agriculture using extreme gradient boosting and support vector regression,10.1155/2022/5305353,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139490887&doi=10.1155%2f2022%2f5305353&partnerID=40&md5=91ebeaa7d8d3c6f433b56bbc7949f169,the food security of more than half of the world's population depends on rice production which is one of the key objectives of precision agriculture the traditional rice almanac used astronomical and climate factors to estimate yield response however this research integrated meteorological agro-chemical and soil physiographic factors for yield response prediction besides the impact of those factors on the production of three major rice ecotypes has also been studied in this research moreover this study found a different set of those factors with respect to the yield response of different rice ecotypes machine learning algorithms named extreme gradient boosting xgboost and support vector regression svr have been used for predicting the yield response the svr shows better results than xgboost for predicting the yield of the aus rice ecotype whereas xgboost performs better for forecasting the yield of the aman and boro rice ecotypes the result shows that the root mean squared error rmse of three different ecotypes are in between 938% and 2437% and that of r-squared values are between 8974% and 9913% on two different machine learning algorithms moreover the explainability of the models is also shown in this study with the help of the explainable artificial intelligence xai model called local interpretable model-agnostic explanations lime © 2022 md sabbir ahmed et al,blank,adaptive boosting food supply forecasting lime machine learning mean square error agro-chemicals food security gradient boosting key objective machine learning algorithms precision agriculture rice production support vector regressions world population yield response precision agriculture,food production
7,a novel deep learning method for detection and classification of plant diseases,10.1007/s40747-021-00536-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134073451&doi=10.1007%2fs40747-021-00536-1&partnerID=40&md5=b3593dcd35434bca100afdedb65dcb76,the agricultural production rate plays a pivotal role in the economic development of a country however plant diseases are the most significant impediment to the production and quality of food the identification of plant diseases at an early stage is crucial for global health and wellbeing the traditional diagnosis process involves visual assessment of an individual plant by a pathologist through on-site visits however manual examination for crop diseases is restricted because of less accuracy and the small accessibility of human resources to tackle such issues there is a demand to design automated approaches capable of efficiently detecting and categorizing numerous plant diseases precise identification and classification of plant diseases is a tedious job due because of the occurrence of low-intensity information in the image background and foreground the huge color resemblance in the healthy and diseased plant areas the occurrence of noise in the samples and changes in the position chrominance structure and size of plant leaves to tackle the above-mentioned problems we have introduced a robust plant disease classification system by introducing a custom centernet framework with densenet-77 as a base network the presented method follows three steps in the first step annotations are developed to get the region of interest secondly an improved centernet is introduced in which densenet-77 is proposed for deep keypoints extraction finally the one-stage detector centernet is used to detect and categorize several plant diseases to conduct the performance analysis we have used the plantvillage kaggle database which is the standard dataset for plant diseases and challenges in terms of intensity variations color changes and differences found in the shapes and sizes of leaves both the qualitative and quantitative analysis confirms that the presented method is more proficient and reliable to identify and classify plant diseases than other latest approaches © 2021 the authors,agriculture centernet deep learning densenet plant disease,blank,food production
8,prediction of exchangeable potassium in soil through mid-infrared spectroscopy and deep learning: from prediction to explainability,10.1016/j.aiia.2022.10.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140931886&doi=10.1016%2fj.aiia.2022.10.001&partnerID=40&md5=38e60d488c83a0a0f2d555dade330824,the ability to characterize rapidly and repeatedly exchangeable potassium kex content in the soil is essential for optimizing remediation of radiocaesium contamination in agriculture in this paper we show how this can be now achieved using a convolutional neural network cnn model trained on a large mid-infrared mir soil spectral library 40000 samples with kex determined with 1 m nh4oac ph 7 compiled by the national soil survey center of the united states department of agriculture using partial least squares regression as a baseline we found that our implemented cnn leads to a significantly higher prediction performance of kex when a large amount of data is available 10000 increasing the coefficient of determination from 064 to 079 and reducing the mean absolute percentage error from 135% to 31% furthermore in order to provide end-users with required interpretive keys we implemented the gradientshap algorithm to identify the spectral regions considered important by the model for predicting kex used in the context of the implemented cnn on various soil taxonomy orders it allowed i to relate the important spectral features to domain knowledge and ii to demonstrate that including all soil taxonomy orders in cnn-based modeling is beneficial as spectral features learned can be reused across different sometimes underrepresented orders © 2022 the authors,agriculture convolutional neural network high-throughput soil characterization interpretability machine learning nuclear emergency response remediation,blank,food production
10,deep learning u-net classification of sentinel-1 and 2 fusions effectively demarcates tropical montane forest's deforestation,10.1016/j.rsase.2022.100887,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142736921&doi=10.1016%2fj.rsase.2022.100887&partnerID=40&md5=28f6f46e1214ce45724916b791958257,tropical montane forests tmf play a vital role in providing numerous ecosystem services this ecosystem is characterized by towering mountains cold weather tall trees such as pine and dwarfed plants although the combination of optical and radar imagery has shown promise in land use and land cover lulc mapping only a handful of studies have attempted to study the dynamics of land changes in tropical montasne forests by combining the two in this study we examined the usage of sentinel-1 s-1 and sentinel-2 s-2 and their fusion as input for lulc mapping with three modeling classifiers: traditional maximum likelihood classification - mlc machine learning techniques random forest k-nearest neighbor and kd-tree nearest neighbor and a deep learning approach u-net in a tmf in the philippines also the deforestation was characterized in terms of proximity and topographic factors the findings revealed that the combination of s-1 and s-2 provides lulc with high accuracy of image classification in binary classification traditional mlc supersedes other classifiers in correctly classifying the pixels of the input imagery average overall accuracy oa = 9522 kappa index ki = 9039 random forest rf stands out in machine learning classifiers average oa = 9449 ki = 888 however u-net deep learning loses in binary classification but proven more robust when lulc were classified into six complex classes with an oa of 8677 and ki of 7889 in addition using deep learning modeling for lulc mapping of the research site it was determined that from 2015 to early 2022 41793 km2 of the study area had been deforested further this research reveals that the greater the proximity of a forest to a human settlement or agricultural zone the greater the likelihood that it will be cleared for human habitation or agriculture deforestation also occurred in rural locations far from roads and bodies of water this analysis also supports the hypothesis that deforestation can occur even in high-elevation areas the results of this study can be utilized by policy and law makers in order to better communicate the critical nature of implementing evidence- and science-based policies to strengthen protections as well as developing conservation and management plan for tropical montane forests © 2022 elsevier bv,deep learning optical radar tropical montane forest u-net,blank,food production
11,insect recognition based on complementary features from multiple views,10.1038/s41598-023-29600-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148412142&doi=10.1038%2fs41598-023-29600-1&partnerID=40&md5=e4993e5f17dbac082aa75e6481b34198,insect pest recognition has always been a significant branch of agriculture and ecology the slight variance among different kinds of insects in appearance makes it hard for human experts to recognize it is increasingly imperative to finely recognize specific insects by employing machine learning methods in this study we proposed a feature fusion network to synthesize feature presentations in different backbone models firstly we employed one cnn-based backbone resnet and two attention-based backbones vision transformer and swin transformer to localize the important regions of insect images with grad-cam during this process we designed new architectures for these two transformers to enable grad-cam to be applicable in such attention-based models then we further proposed an attention-selection mechanism to reconstruct the attention area by delicately integrating the important regions enabling these partial but key expressions to complement each other we only need part of the image scope that represents the most crucial decision-making information for insect recognition we randomly selected 20 species of insects from the ip102 dataset and then adopted all 102 kinds of insects to test the classification performance experimental results show that the proposed approach outperforms other advanced cnn-based models more importantly our attention-selection mechanism demonstrates good robustness to augmented images © 2023 the authors,blank,article attention controlled study decision making human insect nonhuman randomized controlled trial residual neural network vision agriculture animal ecology insect machine learning power supply agriculture animals ecology electric power supplies humans insecta machine learning,food production
12,a taxonomy of food supply chain problems from a computational intelligence perspective,10.3390/s21206910,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117710418&doi=10.3390%2fs21206910&partnerID=40&md5=e3bd935f09705110f3c43b0f0ee05974,in the last few years the internet of things and other enabling technologies have been progressively used for digitizing food supply chains fsc these and other digitalization-enabling technologies are generating a massive amount of data with enormous potential to manage supply chains more efficiently and sustainably nevertheless the intricate patterns and complexity embedded in large volumes of data present a challenge for systematic human expert analysis in such a datadriven context computational intelligence ci has achieved significant momentum to analyze mine and extract the underlying data information or solve complex optimization problems striking a balance between productive efficiency and sustainability of food supply systems although some recent studies have sorted the ci literature in this field they are mainly oriented towards a single family of ci methods a group of methods that share common characteristics and review their application in specific fsc stages as such there is a gap in identifying and classifying fsc problems from a broader perspective encompassing the various families of ci methods that can be applied in different stages from production to retailing and identifying the problems that arise in these stages from a ci perspective this paper presents a new and comprehensive taxonomy of fsc problems associated with agriculture fish farming and livestock from a ci approach that is it defines fsc problems from production to retail and categorizes them based on how they can be modeled from a ci point of view furthermore we review the ci approaches that are more commonly used in each stage of the fsc and in their corresponding categories of problems we also introduce a set of guidelines to help fsc researchers and practitioners to decide on suitable families of methods when addressing any particular problems they might encounter finally based on the proposed taxonomy we identify and discuss challenges and research opportunities that the community should explore to enhance the contributions that ci can bring to the digitization of the fsc © 2021 by the authors licensee mdpi basel switzerland,agriculture computational intelligence deep learning fish farming food supply chain fuzzy systems livestock machine learning meta-heuristics neural networks probabilistic methods,complex networks deep learning fish food supply fuzzy systems heuristic methods supply chains taxonomies computational intelligence methods deep learning enabling technologies fish farming food supply chain human expert large volumes metaheuristic neural-networks probabilistic methods agriculture agriculture animal artificial intelligence catering service food human technology agriculture animals artificial intelligence food food supply humans technology,food production
15,modelling crop yield in agricultural regions using computer vision technology моделирование урожайности зерновых культур сельскохозяйственных регионов c использованием технологий компьютерного зрения,10.17059/ekon.reg.2022-2-20,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134235709&doi=10.17059%2fekon.reg.2022-2-20&partnerID=40&md5=23796796f9695552ecc2fec0f11a5356,the article examines new methodologies for modelling crop yield in agricultural regions of russia based on the use of remote capabilities to get information on the field state the proposed approach can be applied to develop indicator systems and create methodological platforms and models necessary to obtain more accurate estimates in comparison with the traditional regression model this method uses computer vision technology to gather additional data statistical hypothesis testing confirmed the significance of satellite photographs of fields for improving the accuracy of crop yield forecasting models traditional econometric tools were compared with various neural networks in order to discover the optimal model the proposed tools were tested using data from 100 agricultural fields located in municipalities of 43 russian regions selected in proportion to the volume of crop production in this region the conducted analysis showed the advantage of the mixed data neural network in comparison with other neural multilayer perceptron and convolutional neural network and regression models in conditions of uncertainty and a large amount of data the mixed data neural network can help obtain more accurate estimates additionally while environmental factors have different effects on crop yields they must be considered along with socio-economic characteristics the use of new models and data types differing from table information can significantly improve the forecasting accuracy and interpretation the analysis results can be used for examining and monitoring agricultural production in regional municipalities determining farm resource requirements as well as for creating sectoral and comprehensive projects and programmes for the development of the agricultural industry © 2022 institute of economics ural branch of the russian academy of sciences all rights reserved,agricultural statistical analysis computer vision econometric modelling econometric models neural networks satellite photos yield forecasting,blank,food production
